record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,128,20,29,0.37964,1,1,uncontested,,
2,78,20,23,0.344175,1,1,uncontested,,
3,127,20,85,0.220774,1,1,uncontested,,
4,116,21,79,0.070505,1,4,contested,59|0|87,0.2279|0.3294|0.3758
5,53,21,23,0.133377,2,1,uncontested,,
6,117,22,0,0.258919,1,3,contested,59|35,0.2984|0.3427
8,132,30,24,0.204661,1,2,contested,29,0.2972
9,134,33,87,0.005371,1,2,contested,59,0.1534
10,136,34,75,0.137452,1,4,contested,47|12|28,0.2449|0.3263|0.3635
12,135,37,0,0.248665,2,3,contested,59|35,0.3086|0.3325
