record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,75,0.4656,20,20,consumed
1,109,1.779,20,20,consumed
2,110,-3.1252,20,20,consumed
3,73,0.129,21,21,consumed
4,116,1.5217,23,23,consumed
5,68,-1.2885,24,24,consumed
6,117,2.9748,25,25,consumed
7,78,-0.2321,26,26,consumed
8,55,-1.5474,26,26,consumed
9,114,-2.0768,27,27,consumed
10,108,-1.2974,27,30,expired
11,118,1.1247,28,28,consumed
12,120,2.5921,32,35,consumed
13,121,0.11,32,32,consumed
14,122,0.7258,32,32,consumed
15,115,0.2019,35,35,consumed
16,124,0.1352,36,36,consumed
17,125,2.3819,36,37,consumed
18,126,0.9897,39,39,consumed
