record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,110,-3.1055,20,20,consumed
1,134,3.0788,20,20,consumed
2,114,0.084,20,23,expired
3,124,-3.1292,21,21,consumed
4,120,2.6551,22,22,consumed
5,85,-0.675,22,22,consumed
6,133,1.846,22,22,consumed
7,135,-1.0146,22,22,consumed
8,147,2.833,23,23,consumed
9,148,1.9637,23,23,consumed
10,108,-1.2665,24,24,consumed
11,107,-2.1559,25,28,expired
12,151,-1.4032,27,27,consumed
13,149,2.1189,29,29,consumed
14,154,-2.0891,31,34,expired
15,150,0.0229,31,31,consumed
16,155,1.2167,35,35,consumed
17,71,1.8251,35,35,consumed
18,152,0.2755,36,36,consumed
19,156,3.1241,36,36,consumed
