record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,103,20,6,0.22437,1,3,contested,77|76,0.2682|0.3882
1,107,20,78,0.125502,1,2,contested,74,0.2108
2,118,20,22,0.274796,1,1,uncontested,,
3,120,20,71,0.095502,1,4,contested,77|28|6,0.1899|0.2304|0.2337
4,121,20,83,0.046072,1,1,uncontested,,
5,112,21,6,0.043786,2,2,contested,71,0.2854
7,109,21,69,0.230195,1,2,contested,76,0.3514
8,48,22,67,0.147,1,2,contested,17,0.3081
9,116,22,17,0.017285,1,4,contested,67|75|27,0.1438|0.1631|0.1689
10,108,22,28,0.264729,1,1,uncontested,,
11,105,23,28,0.134922,2,2,contested,6,0.3292
12,101,23,58,0.273669,1,2,contested,7,0.3645
13,111,23,69,0.121217,2,1,uncontested,,
15,110,27,27,0.005804,1,4,contested,17|67|7,0.1458|0.3069|0.3729
16,126,28,6,0.041921,3,1,uncontested,,
17,129,33,61,0.111685,1,1,uncontested,,
18,125,34,67,0.09454,2,2,contested,17,0.2556
