record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,112,20,52,0.122753,1,1,uncontested,,
1,114,20,52,0.286942,2,2,contested,91,0.3122
2,123,20,53,0.07175,1,3,contested,0|91,0.1202|0.2250
3,127,20,92,0.277886,1,3,contested,80|29,0.3141|0.3924
4,129,21,53,0.296709,2,2,contested,0,0.3452
5,106,21,71,0.299041,1,2,contested,28,0.3264
6,125,21,71,0.228564,2,2,contested,64,0.3554
7,117,21,12,0.209568,1,1,uncontested,,
8,92,22,64,0.126793,1,1,uncontested,,
9,134,25,52,0.007398,3,1,uncontested,,
10,124,26,97,0.097527,1,1,uncontested,,
11,133,26,29,0.008114,1,3,contested,80|1,0.0864|0.1340
14,136,33,12,0.180553,2,2,contested,100,0.2671
15,140,33,12,0.033217,3,2,contested,100,0.1198
16,142,34,28,0.038146,1,2,contested,94,0.1274
17,141,35,0,0.147422,1,3,contested,53|103,0.1959|0.3845
18,139,36,102,0.165774,1,3,contested,53|0,0.2775|0.3260
19,1,38,103,0.050108,1,3,contested,29|80,0.1422|0.2204
