record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,89,20,61,0.002454,1,5,contested,50|25|78|65,0.2229|0.2321|0.2808|0.3841
1,107,20,19,0.034081,1,4,contested,69|74|37,0.0939|0.2303|0.2716
2,101,20,20,0.296609,1,2,contested,24,0.3549
3,103,20,37,0.083518,1,3,contested,69|19,0.0942|0.1540
4,90,21,19,0.059786,2,4,contested,80|37|74,0.1473|0.1777|0.3242
5,83,21,50,0.220434,1,4,contested,25|78|65,0.2296|0.2784|0.3817
6,66,22,40,0.185197,1,1,uncontested,,
7,25,23,80,0.087475,1,3,contested,37|74,0.2375|0.2644
8,105,26,80,0.176925,2,1,uncontested,,
10,115,27,37,0.081111,2,2,contested,80,0.2439
11,109,28,16,0.058412,1,3,contested,44|24,0.1281|0.1523
12,116,29,80,0.090956,3,2,contested,37,0.2340
13,86,29,78,0.10333,1,4,contested,25|79|50,0.1521|0.1602|0.1612
14,111,31,78,0.26349,2,4,contested,25|50|40,0.3122|0.3214|0.3385
15,113,32,20,0.285159,2,2,contested,24,0.3663
16,117,34,20,0.250918,3,1,uncontested,,
17,112,36,37,0.324971,3,1,uncontested,,
