record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,124,20,22,0.129099,1,7,contested,84|11|82|86|76|77,0.1381|0.1473|0.1492|0.1701|0.2420|0.3902
1,115,20,75,0.145005,1,2,contested,83,0.2480
2,116,20,84,0.093575,1,7,contested,82|22|11|86|76|77,0.1047|0.1736|0.1919|0.2146|0.2865|0.3457
3,119,20,25,0.128024,1,2,contested,80,0.2193
4,120,21,77,0.240957,1,5,contested,22|11|86|76,0.2783|0.2966|0.3193|0.3912
5,122,21,77,0.252098,2,5,contested,22|11|86|76,0.2672|0.2854|0.3082|0.3801
6,126,21,61,0.112653,1,3,contested,67|51,0.1240|0.2849
7,112,22,83,0.102975,1,2,contested,69,0.2735
9,117,23,36,0.186582,1,2,contested,25,0.3473
10,121,24,69,0.170477,1,1,uncontested,,
11,91,24,67,0.011344,1,2,contested,21,0.3352
12,125,28,11,0.022728,1,3,contested,22|76,0.0410|0.0719
13,109,28,35,0.023947,1,2,contested,51,0.2785
14,102,28,21,0.323854,1,1,uncontested,,
15,53,30,51,0.302464,1,1,uncontested,,
16,104,32,90,0.097091,1,1,uncontested,,
17,130,34,22,0.364411,2,2,contested,11,0.3827
18,129,36,93,0.132435,1,1,uncontested,,
19,133,38,93,0.304238,2,2,contested,34,0.3079
