record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,110,20,84,0.023684,1,3,contested,55|27,0.3189|0.3919
1,134,20,84,0.07519,2,2,contested,55,0.2200
3,124,21,55,0.295213,1,2,contested,95,0.3210
4,120,22,95,0.177882,1,2,contested,55,0.2036
5,85,22,36,0.177811,1,1,uncontested,,
6,133,22,49,0.020831,1,5,contested,96|83|28|79,0.1178|0.1293|0.1590|0.2422
7,135,22,36,0.161754,2,2,contested,72,0.2519
8,147,23,55,0.025757,2,1,uncontested,,
9,148,23,49,0.138596,2,4,contested,83|28|79,0.2471|0.2768|0.3599
10,108,24,24,0.37151,1,1,uncontested,,
12,151,27,24,0.234792,2,1,uncontested,,
13,149,29,101,0.176236,1,2,contested,49,0.2938
15,150,31,100,0.252607,1,1,uncontested,,
16,155,35,9,0.195523,1,4,contested,44|0|79,0.2738|0.3245|0.3871
17,71,35,83,0.108519,1,4,contested,101|28|79,0.1176|0.1382|0.2213
18,152,36,77,0.283342,1,1,uncontested,,
19,156,36,55,0.265349,3,1,uncontested,,
