record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,110,20,71,0.056071,1,1,uncontested,,
1,119,20,58,0.189118,1,1,uncontested,,
2,57,21,24,0.017989,1,2,contested,14,0.0965
3,58,21,68,0.14113,1,4,contested,59|52|79,0.1447|0.1711|0.1787
4,118,21,69,0.143028,1,1,uncontested,,
5,120,22,52,0.007624,1,3,contested,68|59,0.0376|0.3235
7,48,28,81,0.216854,1,2,contested,58,0.3683
8,123,28,58,0.075604,2,1,uncontested,,
10,124,31,76,0.130459,1,2,contested,20,0.3221
11,73,32,59,0.311158,1,1,uncontested,,
12,19,32,80,0.314491,1,1,uncontested,,
13,38,32,80,0.236011,2,1,uncontested,,
