record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,103,0.5024,20,20,consumed
1,107,-0.448,20,20,consumed
2,118,-1.7451,20,20,consumed
3,120,0.9605,20,20,consumed
4,121,-1.1291,20,20,consumed
5,112,0.7706,21,21,consumed
6,115,-0.5735,21,24,expired
7,109,-0.2371,21,21,consumed
8,48,-2.4509,22,22,consumed
9,116,-2.7417,22,22,consumed
10,108,1.4557,22,22,consumed
11,105,1.056,23,23,consumed
12,101,2.641,23,23,consumed
13,111,0.1143,23,23,consumed
14,124,-1.083,27,30,expired
15,110,-2.9048,27,27,consumed
16,126,0.6849,28,28,consumed
17,129,2.1485,33,33,consumed
18,125,-2.5034,34,34,consumed
19,128,-0.9037,35,38,expired
