record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,105,20,36,0.142646,1,2,contested,53,0.3882
2,119,20,8,0.174044,1,2,contested,58,0.3458
3,104,21,35,0.199168,1,1,uncontested,,
5,117,21,58,0.225221,1,1,uncontested,,
6,75,22,86,0.036643,1,4,contested,70|54|36,0.0894|0.2266|0.2456
7,6,22,88,0.33906,1,1,uncontested,,
9,125,27,92,0.100704,1,1,uncontested,,
10,121,29,70,0.052746,1,3,contested,54|36,0.1900|0.2822
11,130,33,100,0.287667,1,1,uncontested,,
12,132,33,35,0.296372,2,1,uncontested,,
14,135,34,36,0.243338,2,1,uncontested,,
15,128,37,91,0.125984,1,1,uncontested,,
16,137,37,91,0.226308,2,2,contested,94,0.3881
