record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,105,1.1077,20,20,consumed
1,78,-1.0645,20,23,expired
2,119,1.7943,20,20,consumed
3,104,0.0938,21,21,consumed
4,116,2.5468,21,24,expired
5,117,2.3654,21,21,consumed
6,75,0.7195,22,22,consumed
7,6,-2.2413,22,22,consumed
8,107,-1.4848,23,26,expired
9,125,-0.8231,27,27,consumed
10,121,0.6829,29,29,consumed
11,130,1.4961,32,33,consumed
12,132,-0.4018,33,33,consumed
13,127,-0.7224,33,36,expired
14,135,1.2084,34,34,consumed
15,128,-1.7937,37,37,consumed
16,137,-1.6934,37,37,consumed
