record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,121,-0.5662,20,20,consumed
1,116,0.9434,20,20,consumed
2,93,-1.1332,20,20,consumed
3,64,-1.0212,21,21,consumed
4,75,-2.9822,21,21,consumed
5,103,0.3707,21,24,expired
6,39,-1.8905,21,21,consumed
7,120,-1.6443,22,22,consumed
8,124,1.1576,22,22,consumed
9,100,-1.5882,22,22,consumed
10,62,-1.0546,24,24,consumed
11,110,-1.0822,24,24,consumed
12,125,-3.0508,25,25,consumed
13,129,-0.6835,28,28,consumed
14,122,2.2916,29,29,consumed
15,127,-1.3946,30,30,consumed
16,118,-2.9245,31,31,consumed
17,128,1.5667,33,33,consumed
18,130,-0.5347,36,36,consumed
19,126,-1.9272,38,38,consumed
