record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,109,-1.4267,20,20,consumed
1,116,2.9154,20,20,consumed
2,124,3.1398,20,20,consumed
3,126,-2.7344,20,20,consumed
4,127,-3.0066,20,20,consumed
5,65,1.8354,21,24,expired
6,106,1.2198,21,21,consumed
7,101,2.0749,21,21,consumed
8,79,-3.0239,21,21,consumed
9,123,2.982,23,23,consumed
10,129,-2.8886,24,24,consumed
11,128,2.774,25,25,consumed
12,100,1.2401,25,25,consumed
13,115,-2.8036,26,26,consumed
14,120,3.1182,28,28,consumed
15,119,1.417,28,31,expired
16,135,1.9062,30,30,consumed
17,133,-2.7537,31,31,consumed
18,136,-0.5846,32,32,consumed
19,28,2.2563,32,32,consumed
20,114,-2.7573,33,33,consumed
21,140,-2.0811,33,33,consumed
22,132,0.7115,34,34,consumed
23,141,2.2981,34,37,expired
24,142,0.3547,35,35,consumed
25,144,-0.9019,38,38,consumed
26,143,-0.3748,38,38,consumed
