record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,102,0.5542,20,20,consumed
1,114,3.036,20,20,consumed
2,115,-2.6518,20,20,consumed
3,118,-1.8997,20,20,consumed
4,119,-1.6676,20,20,consumed
5,126,0.7325,20,20,consumed
6,128,2.4987,21,21,consumed
7,122,-0.3165,21,21,consumed
8,101,1.2012,21,24,expired
9,127,2.5392,21,21,consumed
10,130,0.051,22,24,consumed
11,99,1.7873,22,22,consumed
12,108,-2.8476,23,23,consumed
13,92,-2.6518,23,23,consumed
14,106,1.6533,24,24,consumed
15,39,-2.3613,24,27,expired
16,131,3.0363,25,25,consumed
17,91,0.6819,27,30,expired
18,133,2.6963,27,27,consumed
19,135,-0.8165,28,28,consumed
20,129,-0.6174,30,31,consumed
21,51,2.4575,35,35,consumed
22,142,-2.8379,36,36,consumed
23,145,1.428,37,37,consumed
24,138,-0.7034,37,37,consumed
25,144,1.1097,39,39,consumed
