record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,112,2.9402,20,20,consumed
1,133,2.6029,21,21,consumed
2,137,-1.9848,23,23,consumed
3,99,-1.3575,23,23,consumed
4,138,-1.8095,24,24,consumed
5,47,1.4167,24,24,consumed
6,32,-1.4662,25,25,consumed
7,126,0.5772,25,25,consumed
8,101,2.8468,26,26,consumed
9,136,-3.0071,27,27,consumed
10,34,0.2953,27,27,consumed
11,142,-2.2622,27,27,consumed
12,49,1.913,28,28,consumed
13,140,2.8095,29,29,consumed
14,135,-1.1154,30,30,consumed
15,141,-0.9529,31,31,consumed
16,102,-0.2341,31,31,consumed
17,146,-0.5157,34,34,consumed
18,45,1.7068,38,38,consumed
