record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,41,20,98,0.026024,1,6,contested,26|48|99|46|13,0.0809|0.1018|0.2268|0.2586|0.2659
1,162,20,89,0.127841,1,2,contested,97,0.3725
2,163,20,13,0.000714,1,5,contested,28|48|26|98,0.1529|0.1634|0.1843|0.2392
3,158,20,65,0.181666,1,1,uncontested,,
4,148,21,61,0.035815,1,1,uncontested,,
5,149,21,26,0.054855,1,6,contested,48|13|99|46|28,0.0758|0.2399|0.2528|0.2846|0.3921
7,92,22,28,0.367018,1,1,uncontested,,
8,87,24,47,0.207926,1,3,contested,106|19,0.2179|0.2960
9,150,25,46,0.031832,1,5,contested,109|26|110|48,0.1891|0.3077|0.3266|0.3286
10,167,26,6,0.041719,1,2,contested,78,0.0813
11,34,27,106,0.078053,1,1,uncontested,,
12,165,27,110,0.137543,1,2,contested,46,0.1572
13,169,30,27,0.156853,1,1,uncontested,,
14,166,30,46,0.29477,2,2,contested,78,0.3153
15,9,31,78,0.123042,1,1,uncontested,,
16,170,31,115,0.032492,1,5,contested,28|13|48|26,0.0366|0.1156|0.2797|0.3006
17,30,32,48,0.020932,1,5,contested,13|115|28|46,0.1850|0.3331|0.3373|0.3395
18,125,34,27,0.305431,2,1,uncontested,,
19,73,35,13,0.164109,2,4,contested,115|28|46,0.3122|0.3163|0.3604
20,175,36,106,0.091728,2,4,contested,118|116|47,0.2568|0.2797|0.3341
21,176,38,27,0.135645,3,1,uncontested,,
22,168,39,124,0.022854,1,1,uncontested,,
