record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,152,-2.4948,20,20,consumed
1,153,-1.7161,20,20,consumed
2,138,-2.7129,20,20,consumed
3,149,-2.3699,20,20,consumed
4,145,1.4128,21,21,consumed
5,23,-2.5474,21,21,consumed
6,112,-2.567,22,22,consumed
7,137,-0.098,22,22,consumed
8,151,-2.3805,22,22,consumed
9,117,-2.7524,23,23,consumed
10,100,-0.9964,24,24,consumed
11,158,-2.4997,24,24,consumed
12,25,-0.9895,25,25,consumed
13,157,2.3816,25,25,consumed
14,62,1.3872,25,25,consumed
15,31,-0.6422,26,26,consumed
16,156,-1.4113,28,29,consumed
17,162,-1.108,32,32,consumed
18,163,1.7571,37,37,consumed
19,155,-0.7195,38,38,consumed
20,165,2.1539,39,,
