record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,98,20,0,0.037184,1,5,contested,48|58|53|57,0.0624|0.1175|0.2651|0.3851
1,99,20,63,0.21717,1,4,contested,67|75|38,0.2296|0.2889|0.3585
2,109,20,13,0.054633,1,5,contested,24|67|63|72,0.2857|0.3536|0.3660|0.3708
3,87,20,6,0.063444,1,2,contested,70,0.3575
4,90,20,70,0.042069,1,2,contested,6,0.3789
5,108,21,24,0.085046,1,2,contested,76,0.3073
6,110,21,52,0.23857,1,1,uncontested,,
7,111,21,38,0.069684,1,2,contested,47,0.2891
8,96,22,13,0.311395,2,1,uncontested,,
9,68,22,38,0.219392,2,1,uncontested,,
10,101,22,13,0.298927,3,1,uncontested,,
11,71,22,57,0.11996,1,4,contested,48|0|58,0.2027|0.3023|0.3826
12,75,22,37,0.357328,1,1,uncontested,,
13,94,25,77,0.031225,1,1,uncontested,,
15,114,28,77,0.095659,2,2,contested,6,0.2940
16,79,34,48,0.322674,1,1,uncontested,,
