record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,89,0.2455,20,20,consumed
1,107,-0.9587,20,20,consumed
2,101,-2.9747,20,20,consumed
3,103,-0.7706,20,20,consumed
4,90,-0.8648,21,21,consumed
5,83,0.2479,21,21,consumed
6,66,1.3135,22,22,consumed
7,25,-0.9246,23,23,consumed
8,105,-1.189,26,26,consumed
9,114,2.2345,27,30,expired
10,115,-0.7682,27,27,consumed
11,109,2.8013,28,28,consumed
12,116,-0.9211,29,29,consumed
13,86,0.6296,29,29,consumed
14,111,0.7897,31,31,consumed
15,113,-2.9633,32,32,consumed
16,117,-2.929,34,34,consumed
17,112,-1.0121,36,36,consumed
18,121,-1.6652,39,,
