record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,112,20,67,0.093331,1,3,contested,36|88,0.2040|0.3373
1,133,21,36,0.133337,1,2,contested,67,0.2440
2,137,23,93,0.175355,1,2,contested,31,0.3550
3,99,23,20,0.108703,1,6,contested,92|31|89|29|73,0.2421|0.2724|0.2786|0.2883|0.3501
4,138,24,31,0.17961,1,2,contested,20,0.3433
5,47,24,30,0.29007,1,1,uncontested,,
6,32,25,31,0.163659,2,3,contested,92|89,0.3508|0.3873
7,126,25,87,0.144139,1,3,contested,22|72,0.2819|0.3313
8,101,26,95,0.037319,1,2,contested,36,0.1106
9,136,27,5,0.337553,1,1,uncontested,,
10,34,27,72,0.049411,1,2,contested,87,0.1377
11,142,27,98,0.078117,1,1,uncontested,,
12,49,28,65,0.040166,1,2,contested,30,0.2062
13,140,29,36,0.073305,2,1,uncontested,,
14,135,30,89,0.036501,1,5,contested,29|73|96|43,0.0462|0.1080|0.1625|0.2212
15,141,31,73,0.054494,1,4,contested,43|29|89,0.0587|0.1163|0.1260
16,102,31,94,0.001578,1,3,contested,49|100,0.1081|0.2816
17,146,34,94,0.280019,2,3,contested,43|49,0.3785|0.3897
18,45,38,65,0.166017,2,1,uncontested,,
