seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag
2024,1,1,3,921,1,1,864,695,20.8126,1.5845,2687,A,B,A,B,0,0
2024,2,0,0,231,0,0,187,597,15.6093,1.5785,646,A,B,A,B,3,1
2024,3,0,0,42,0,0,31,630,17.127,1.5713,115,A,B,A,B,0,1
2024,4,0,0,13,0,0,9,728,19.4961,1.5682,34,A,B,A,B,4,0
2024,5,0,0,14,0,0,13,698,19.5219,1.5014,33,A,B,A,B,4,0
2024,6,0,0,10,0,0,12,672,18.7434,1.581,33,A,B,A,B,4,0
2024,7,0,0,6,0,0,9,666,19.5297,1.5653,23,A,B,A,B,3,1
2024,8,0,0,7,0,0,13,672,18.9954,1.4979,26,A,B,neutral,B,3,1
2024,9,0,0,13,0,0,18,669,19.478,1.5714,48,A,B,A,B,0,1
2024,10,0,0,17,0,0,17,671,18.4066,1.5844,52,A,B,A,B,1,1
2024,11,0,0,11,0,0,8,705,19.4909,1.5647,31,A,neutral,A,B,4,0
2024,12,0,0,15,0,0,7,678,18.1552,1.5199,33,A,B,A,B,4,0
2024,13,0,0,17,1,3,17,661,17.6603,1.5844,50,A,B,A,B,4,0
2024,14,0,0,12,0,0,14,680,18.9717,1.5715,36,A,B,A,B,3,1
2024,15,0,0,13,0,0,12,652,18.3552,1.5839,37,A,B,A,B,4,0
2024,16,0,0,9,0,0,21,646,18.2044,1.5033,44,A,B,A,B,4,0
2024,17,0,0,5,0,0,16,700,18.4112,1.4436,31,A,B,neutral,B,4,0
2024,18,1,4,12,0,0,10,694,19.3362,1.5794,32,A,B,A,B,4,0
2024,19,0,0,11,0,0,8,700,18.9404,1.5677,27,A,B,A,B,3,1
2024,20,0,0,9,0,0,6,646,17.9887,1.5644,22,A,B,A,B,4,0
2024,21,0,0,7,0,0,8,684,17.9221,1.5448,27,A,B,A,B,4,0
2024,22,0,0,12,0,0,9,703,19.2955,1.5621,35,A,B,A,B,4,0
2024,23,0,0,11,1,1,8,683,18.0692,1.5579,26,A,B,A,B,3,1
2024,24,0,0,10,0,0,8,625,16.3913,1.5727,29,A,B,A,B,4,0
2024,25,0,0,8,0,0,11,677,19.3854,1.5647,31,A,B,A,B,4,0
