seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag
456,1,0,0,893,0,0,815,684,19.3999,1.5837,2599,A,B,A,B,0,0
456,2,0,0,247,0,0,227,696,19.2467,1.584,716,A,B,A,B,0,0
456,3,0,0,43,0,0,26,657,17.7319,1.5469,97,A,B,A,B,3,1
456,4,0,0,9,0,0,9,674,18.3884,1.585,27,A,B,A,B,4,1
456,5,0,0,12,0,0,14,697,19.2489,1.581,38,A,B,A,B,4,1
456,6,0,0,11,0,0,16,692,19.7647,1.5609,38,A,B,A,B,4,1
456,7,0,0,14,0,0,11,635,17.1342,1.5561,43,A,B,A,B,4,1
456,8,0,0,16,0,0,12,680,19.2845,1.574,41,A,B,A,B,4,1
456,9,0,0,14,0,0,15,649,17.2942,1.5766,47,A,B,A,B,4,1
456,10,0,0,10,0,0,10,684,19.0666,1.5774,28,A,B,A,B,4,1
456,11,0,0,11,0,0,18,654,17.7357,1.5333,39,A,B,A,B,4,0
456,12,0,0,12,0,0,13,681,18.0189,1.5682,34,A,B,A,B,4,0
456,13,0,0,9,0,0,9,710,19.1499,1.5755,25,A,B,A,B,4,0
456,14,0,0,6,0,0,10,628,17.6768,1.5395,22,neutral,B,A,B,4,0
456,15,0,0,11,0,0,12,682,19.4466,1.5838,35,A,B,A,B,4,0
456,16,0,0,6,0,0,14,724,19.5641,1.4716,37,neutral,B,A,B,4,0
456,17,0,0,8,0,0,18,642,18.0434,1.509,38,A,B,A,B,4,0
456,18,0,0,8,1,1,18,686,18.3223,1.5037,37,A,B,A,B,4,0
456,19,0,0,7,0,0,14,705,21.3541,1.5155,36,A,B,A,B,4,0
456,20,0,0,20,0,0,18,649,17.9992,1.5816,55,A,B,A,B,4,0
456,21,0,0,9,0,0,8,633,18.6642,1.5722,28,A,B,A,B,4,0
456,22,0,0,4,0,0,4,652,17.8183,1.5726,11,A,B,A,B,4,0
456,23,0,0,5,0,0,10,675,18.3445,1.5284,24,A,B,neutral,B,4,0
456,24,0,0,11,0,0,12,671,18.113,1.5838,35,A,B,A,B,4,0
456,25,0,0,7,0,0,7,624,16.7658,1.5743,23,A,B,A,B,4,0
