seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag
1337,1,0,0,900,1,2,840,717,21.0178,1.5843,2635,A,B,A,B,0,0
1337,2,0,0,274,0,0,248,669,18.5239,1.5812,752,A,B,A,B,3,1
1337,3,0,0,45,0,0,39,671,19.7302,1.5755,118,A,B,A,B,0,1
1337,4,0,0,17,0,0,11,665,19.052,1.5319,37,A,B,A,B,1,1
1337,5,0,0,12,0,0,5,674,18.441,1.4987,25,A,B,A,B,4,0
1337,6,0,0,11,0,0,5,698,19.564,1.5099,23,A,B,A,B,1,1
1337,7,0,0,15,0,0,11,669,17.9835,1.5686,37,A,B,A,B,3,1
1337,8,0,0,4,0,0,10,631,18.2417,1.3996,30,A,B,A,B,3,1
1337,9,0,0,7,0,0,15,665,18.6481,1.519,35,A,B,A,B,4,0
1337,10,0,0,11,0,0,8,716,19.7211,1.5722,28,A,B,A,B,3,1
1337,11,0,0,8,0,0,3,686,18.6783,1.4807,18,A,neutral,A,B,4,0
1337,12,0,0,10,0,0,7,681,18.7692,1.541,30,A,B,A,B,4,0
1337,13,1,1,10,0,0,5,659,17.85,1.5219,25,A,B,A,neutral,4,0
1337,14,0,0,10,0,0,12,665,18.5904,1.5799,34,A,B,A,B,4,0
1337,15,0,0,14,1,2,12,652,19.2805,1.5821,39,A,B,A,B,4,0
1337,16,0,0,22,0,0,13,699,19.4786,1.4131,41,A,B,A,B,4,0
1337,17,1,2,10,0,0,9,664,18.213,1.5245,36,A,B,A,B,3,1
1337,18,0,0,16,0,0,13,677,20.1213,1.5628,49,A,B,A,B,4,0
1337,19,0,0,13,0,0,17,621,16.5893,1.5764,45,A,B,A,B,4,0
1337,20,0,0,10,0,0,16,696,20.2414,1.5534,37,A,B,A,B,4,0
1337,21,0,0,9,0,0,15,657,17.6937,1.5544,37,A,B,A,B,3,1
1337,22,0,0,8,0,0,12,628,16.9356,1.5632,29,A,B,A,B,3,1
1337,23,1,2,14,0,0,10,725,20.3674,1.5462,32,A,B,A,B,1,1
1337,24,0,0,21,0,0,12,672,18.1856,1.5462,48,A,B,A,B,4,0
1337,25,0,0,11,0,0,10,655,18.1409,1.5727,29,A,B,A,B,4,0
