seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag
55,1,1,3,948,0,0,851,698,19.4837,1.5836,2706,A,B,A,B,0,0
55,2,0,0,239,0,0,207,671,18.7899,1.5824,665,A,B,A,B,3,1
55,3,0,0,31,0,0,39,678,18.9652,1.5783,107,A,B,A,B,1,1
55,4,0,0,18,0,0,14,674,19.7007,1.5743,46,A,B,A,B,3,1
55,5,0,0,8,0,0,10,644,17.9732,1.5546,24,A,B,A,B,4,0
55,6,1,2,12,0,0,8,686,18.1308,1.5567,28,A,B,A,B,1,1
55,7,0,0,17,0,0,12,649,18.6606,1.5579,40,A,B,A,B,1,1
55,8,0,0,4,0,0,10,710,20.2644,1.4605,26,A,B,A,B,4,0
55,9,0,0,4,0,0,12,654,17.8245,1.4619,25,A,B,A,B,3,1
55,10,0,0,6,0,0,7,649,17.5702,1.5343,24,A,B,A,neutral,4,0
55,11,0,0,7,0,0,7,679,18.74,1.585,21,A,B,A,B,4,0
55,12,0,0,8,1,2,7,663,19.4546,1.582,22,A,B,A,B,1,1
55,13,0,0,12,0,0,12,697,19.5096,1.5448,31,A,B,A,B,1,1
55,14,0,0,10,0,0,8,670,17.7335,1.5546,24,A,B,A,B,4,0
55,15,1,4,20,0,0,10,669,18.8423,1.5305,45,A,B,A,B,4,0
55,16,1,3,20,0,0,8,670,19.4726,1.4355,36,A,B,A,B,1,1
55,17,0,0,11,0,0,9,684,19.2507,1.561,27,A,B,A,B,1,1
55,18,0,0,9,0,0,9,711,19.5211,1.5613,24,A,B,A,B,3,1
55,19,1,3,14,0,0,6,686,18.5201,1.5058,30,A,B,A,B,3,1
55,20,0,0,8,0,0,4,641,17.8275,1.5219,20,A,B,A,neutral,3,1
55,21,0,0,5,0,0,8,664,18.048,1.5157,24,A,B,neutral,B,3,1
55,22,1,2,9,0,0,8,684,18.1548,1.579,27,A,B,A,B,4,0
55,23,1,3,16,0,0,11,717,22.3018,1.5534,37,A,B,A,B,4,0
55,24,0,0,14,0,0,12,672,18.35,1.5486,34,A,B,A,B,1,1
55,25,0,0,14,0,0,9,699,17.9829,1.5512,32,A,B,A,B,1,1
