window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
1,5000,6158,14,6,0,1.9969,0,17.8,0,0,6.63,1.0,6158.0,644,1.0,400,615,215,2131,0.000885,0.0067,402.2486,0,0.0,0.0058,0.001,2,0,0,0,0.034566,0.015625,63,0.548,0.0346,0.2733,0.003
2,5000,3787,0,0,1,1.9969,0,16.7,498,3282,5.22,0.8297,4593.3,505,1.0,366,10,44,2152,0.00102,0.0085,398.8942,1,1.0,0.0079,0.0012,0,0,0,0,0.036947,0.015625,62,0.5771,0.0715,0.2646,0.003529
3,5000,3378,1,5,0,1.9969,0,16.5,290,3118,4.88,0.8526,4003.2,260,1.0,308,6,64,2097,0.001077,0.0103,257.9365,2,1.9,0.0066,0.0014,1,0,0,0,0.044409,0.015625,62,0.6482,0.1159,0.2592,0.003856
4,5000,3134,0,0,1,1.9969,0,16.4,64,3102,4.61,0.864,3670.3,32,1.0,271,9,46,1848,0.001217,0.0156,44.2225,3,2.9,0.0065,0.0023,0,0,0,0,0.049544,0.015625,62,0.6846,0.1655,0.2593,0.003856
5,5000,3016,1,5,0,1.9969,0,16.4,3,3005,4.42,0.8736,3452.2,11,1.0,238,1,34,1727,0.001294,0.0161,18.7713,4,3.9,0.0089,0.0028,1,0,0,0,0.043548,0.015625,62,0.6412,0.1993,0.2556,0.003529
6,5000,3147,1,3,0,1.9975,0,16.3,2,3140,4.53,0.9352,3365.0,7,1.0,212,6,32,1662,0.001318,0.0142,9.9338,5,4.8,0.0079,0.0027,0,0,0,0,0.037736,0.015625,60,0.5859,0.2371,0.2546,0.003
7,5000,3115,0,0,1,1.9973,2,16.3,0,3110,4.51,0.9432,3302.5,5,1.0,180,0,32,1469,0.001372,0.0192,10.1215,6,5.8,0.0101,0.0032,0,0,0,0,0.055662,0.015625,58,0.7193,0.262,0.2644,0.002471
8,5000,3066,2,4,0,1.9954,1,16.2,1,3055,4.41,0.9434,3249.9,11,1.0,169,5,16,1411,0.001448,0.0223,21.5686,7,6.6,0.0163,0.0034,0,0,0,0,0.040892,0.015625,58,0.6179,0.2936,0.2677,0.002144
9,5000,3188,2,4,0,1.9961,1,16.3,3,3180,4.55,0.9847,3237.6,8,1.0,156,2,15,1359,0.001496,0.0171,17.7778,8,7.5,0.0123,0.0032,0,0,0,0,0.049145,0.015625,57,0.6821,0.3257,0.2711,0.002144
10,5000,3082,1,3,3,1.9952,2,16.3,5,3077,4.46,0.9603,3209.3,5,1.0,144,4,16,1288,0.001591,0.0251,12.9534,9,8.3,0.0182,0.0043,0,0,0,0,0.052632,0.015625,57,0.7031,0.3683,0.2805,0.002471
11,5000,3055,0,0,3,1.9603,2,16.3,5,3050,4.49,0.9596,3183.6,5,1.0,123,0,21,1154,0.001614,0.028,14.6628,10,9.3,0.0126,0.0047,0,0,0,0,0.058824,0.015625,55,0.7344,0.4027,0.2871,0.003
12,5000,3198,3,5,1,1.9507,1,16.3,3177,0,4.56,1.0038,3185.8,21,1.0,118,7,12,1160,0.001799,0.0343,57.6923,11,9.8,0.018,0.0055,2,0,0,0,0.060686,0.015625,53,0.7425,0.4634,0.294,0.003529
13,5000,3146,4,5,1,1.9845,1,16.3,11,3126,4.5,0.9893,3180.1,20,1.0,115,9,12,1173,0.001908,0.0317,55.0964,12,10.1,0.0202,0.0054,2,0,0,0,0.058201,0.015625,52,0.7315,0.5031,0.2971,0.003856
14,5000,3122,2,4,1,1.9761,2,16.3,4,3118,4.49,0.9841,3172.4,4,1.0,101,2,16,1106,0.002048,0.0318,12.0482,13,11.2,0.0228,0.0066,0,0,0,0,0.066474,0.015625,53,0.7649,0.5667,0.2996,0.003856
15,5000,3054,2,4,1,1.9946,2,16.3,3,3048,4.39,0.9672,3157.6,6,1.0,97,2,6,1077,0.002019,0.0305,18.8679,14,12.0,0.0202,0.0064,0,0,0,0,0.070122,0.015625,48,0.7772,0.6368,0.3078,0.003529
16,5000,3081,2,5,3,1.9843,2,16.2,7,3074,4.49,0.9785,3148.6,7,1.0,93,2,6,1063,0.002053,0.0312,22.508,15,12.6,0.0226,0.0067,1,0,0,0,0.075,0.015625,48,0.7917,0.7118,0.3165,0.003
