trajectory_class,n_cids_total_24seeds,ratio_24seeds,n_cids_mean_per_seed
snapshot_only,824,0.266839378238342,34.333333333333336
stable_atom,769,0.24902849740932642,32.041666666666664
few_attractors,746,0.241580310880829,31.083333333333332
wandering,542,0.17551813471502592,22.583333333333332
fully_drifting,147,0.047603626943005184,6.125
stable_category,60,0.019430051813471502,2.5
