seed,window,A_islands,A_nodes_in_isl,B_islands,B_nodes_in_isl,C_islands,C_nodes_in_isl,tripartite,boundary_links,boundary_weight,concept_entropy,n_bridges,persistent_bridges,bridge_mean_life,bridge_max_life,bridges_AC,bridges_AB,bridges_BC,global_k,div_flag,merge,split,r0_concept,r1_concept,r2_concept,r3_concept
13,1,0,0,0,0,0,0,0,2059,56.7885,1.5845,4,0,1.0,1,3,1,0,0,0,0,0,A,B,A,B
13,2,0,0,0,0,0,0,0,2007,56.0019,1.5848,6,0,1.0,1,3,2,1,1,1,0,0,A,B,A,B
13,3,0,0,0,0,0,0,0,2082,58.1932,1.5848,6,0,1.0,1,2,2,2,0,1,0,0,A,B,A,B
13,4,0,0,0,0,0,0,0,2086,58.6175,1.5513,5,0,1.0,1,3,2,0,3,1,0,0,A,B,C,B
13,5,1,2,0,0,0,0,0,2054,58.1287,1.557,4,0,1.0,1,2,0,2,1,1,0,0,A,B,A,B
13,6,0,0,0,0,0,0,0,2140,60.3747,1.531,8,0,1.0,1,8,0,0,4,1,0,0,A,B,A,C
13,7,0,0,0,0,0,0,1,2086,58.8006,1.4888,4,0,1.0,1,2,0,2,4,1,0,0,A,C,A,C
13,8,0,0,0,0,0,0,1,2030,56.0723,1.584,7,0,1.0,1,3,1,3,4,1,0,0,A,B,A,B
13,9,0,0,0,0,0,0,0,2098,57.2189,1.5653,5,0,1.0,1,1,1,3,3,1,0,0,A,B,A,C
13,10,1,3,0,0,1,3,0,2094,58.6777,1.5629,6,0,1.0,1,3,1,2,1,1,0,0,A,B,A,C
13,11,0,0,0,0,0,0,0,1983,54.9737,1.5729,2,0,1.0,1,0,2,0,3,1,0,0,A,B,A,B
13,12,0,0,0,0,0,0,0,1956,55.427,1.5817,5,0,1.0,1,1,3,1,4,1,0,0,A,B,A,B
13,13,0,0,0,0,0,0,0,2159,58.6413,1.5755,2,0,1.0,1,1,0,1,4,1,0,0,A,B,A,C
13,14,0,0,0,0,0,0,0,1982,56.5929,1.5824,10,0,1.0,1,4,3,3,4,1,0,0,A,B,A,B
13,15,0,0,0,0,0,0,0,2009,54.4785,1.4874,1,0,1.0,1,0,0,1,4,1,0,0,A,B,A,B
13,16,0,0,0,0,0,0,0,2019,55.1533,1.5686,2,0,1.0,1,0,2,0,4,1,0,0,A,B,A,B
13,17,0,0,0,0,0,0,1,2059,60.3574,1.5596,9,0,1.0,1,5,0,4,4,0,0,0,A,C,A,B
13,18,0,0,0,0,0,0,0,2055,56.0821,1.547,3,0,1.0,1,1,1,1,3,1,0,0,C,C,A,B
13,19,0,0,0,0,0,0,0,1999,54.2421,1.5566,1,0,1.0,1,0,1,0,4,0,0,0,C,B,C,B
13,20,0,0,0,0,0,0,0,2091,57.9654,1.5382,4,0,1.0,1,1,1,2,4,0,0,0,A,B,C,B
13,21,0,0,0,0,0,0,0,1994,55.6806,1.4926,1,0,1.0,1,0,0,1,3,1,0,0,C,B,C,B
13,22,0,0,0,0,0,0,0,2046,59.6799,1.5749,7,0,1.0,1,2,4,1,1,1,0,0,A,B,A,B
13,23,0,0,0,0,0,0,0,2092,58.1408,1.5807,3,0,1.0,1,1,0,2,4,0,0,0,A,B,A,C
13,24,2,4,0,0,0,0,0,2061,57.2557,1.5529,5,0,1.0,1,2,3,0,4,1,0,0,A,B,A,B
13,25,1,2,0,0,0,0,0,2000,53.8599,1.5302,3,0,1.0,1,0,3,0,1,1,0,0,A,B,A,B
