atom,category,obs_rank1_ratio_mean,obs_rank1_ratio_std,uni_baseline_rank1_ratio_mean,uni_baseline_rank1_ratio_std,delta_ratio,z_score_uniform,n_seeds_obs_appeared,n_seeds_baseline_appeared
SOC.nation,SOC,3.479512305184348e-05,0.00012408850713248613,0.0,0.0,3.479512305184348e-05,inf,3,0
SOC.public,SOC,0.0002111427036147984,0.0008779512594512543,0.0,0.0,0.0002111427036147984,inf,2,0
BOD.ear,BOD,0.0003921585235173853,0.0003803411635369291,0.0,0.0,0.0003921585235173853,inf,18,0
COM.silence,COM,1.0721068431048215e-05,5.141643794521387e-05,0.0,0.0,1.0721068431048215e-05,inf,1,0
PRP.sharp,PRP,0.0034046333893740263,0.0011795704816736565,0.0,0.0,0.0034046333893740263,inf,24,0
EXS.nonbeing,EXS,1.4368641875969884e-05,6.890958565596757e-05,0.0,0.0,1.4368641875969884e-05,inf,1,0
PRP.bright,PRP,0.006431928942022919,0.0010895439383296955,0.0,0.0,0.006431928942022919,inf,24,0
PER.soundless,PER,0.0002687282101022656,0.0004779212536933189,0.0,0.0,0.0002687282101022656,inf,9,0
PER.see,PER,0.00016435025563437834,0.000338970244927718,0.0,0.0,0.00016435025563437834,inf,8,0
FND.transformation,FND,0.002381370531896925,0.0006884455211510826,0.0,0.0,0.002381370531896925,inf,24,0
PER.taste,PER,0.00827822347743534,0.0039717128492043645,0.0,0.0,0.00827822347743534,inf,24,0
PER.smell,PER,7.559107633360564e-05,0.00013898483752495052,0.0,0.0,7.559107633360564e-05,inf,11,0
TIM.appear,TIM,0.02320626243487972,0.00251893534224599,0.0,0.0,0.02320626243487972,inf,24,0
WLD.technique,WLD,2.8316160778321708e-05,5.924564875347709e-05,0.0,0.0,2.8316160778321708e-05,inf,7,0
PER.feel,PER,1.595679595416048e-05,5.513593188569245e-05,0.0,0.0,1.595679595416048e-05,inf,2,0
PER.fragrance,PER,0.00015676259146062168,0.00013445783285405118,0.0,0.0,0.00015676259146062168,inf,21,0
PER.hear,PER,0.006068958525137193,0.004456127315531245,0.0,0.0,0.006068958525137193,inf,24,0
PER.sound,PER,0.2828429288687769,0.05540233046027812,1.760143677303598e-05,1.947680869842719e-05,0.28282532743200384,14521.132892517591,24,16
FND.timeless,FND,0.06491878316681635,0.019026973958707536,3.913938119022796e-06,8.460105704026599e-06,0.06491486922869733,7673.056519589466,24,5
SOC.city,SOC,0.01868510214694015,0.007125458017037047,1.8494628012847705e-06,4.902877508110403e-06,0.018683252684138865,3810.6709076930406,24,3
WLD.artless,WLD,0.24528223761072834,0.04843845035166761,0.018464436740030694,0.0004421631833944964,0.22681780087069764,512.9730592434504,24,24
EMO.manifest,EMO,0.0016253201954830288,0.0015212981412372777,4.352852977468015e-06,6.17452932002685e-06,0.0016209673425055609,262.52484335089565,23,8
WLD.culture,WLD,0.07774702536958773,0.03775432253058263,0.00626738331988929,0.0003125355176130328,0.07147964204969845,228.70886034207888,24,24
