seed,cycle_id,cycle_type,step_start,step_end,node_id
456,153,C→Dust→B→C,186,2552,35
456,154,C→Dust→A→C,2552,5147,35
456,155,C→Dust→B→C,195,1792,42
456,156,C→Dust→B→C,1792,3454,42
456,157,C→Dust→B→C,3454,4618,42
456,158,C→Dust→B→C,1546,5147,48
456,159,C→Dust→A→C,128,1792,57
456,160,C→Dust→A→C,1792,2123,57
456,161,C→Dust→A→C,2123,3051,57
456,162,C→Dust→A→C,3051,4417,57
456,163,C→Dust→B→C,117,1521,119
456,164,C→Dust→A→C,251,2061,122
456,165,C→Dust→A→C,1145,4143,131
456,166,C→Dust→A→C,4143,5281,131
456,167,C→Dust→B→C,243,1317,147
456,168,C→Dust→A→C,1317,4099,147
456,169,C→Dust→B→C,2374,3946,17
456,170,C→Dust→A→C,75,1994,18
456,171,C→Dust→A→C,1994,2439,18
456,172,C→Dust→A→C,2439,4403,18
456,173,C→Dust→A→C,195,3160,50
456,174,C→Dust→A→C,964,2658,53
456,175,C→Dust→B→C,2658,4379,53
456,176,C→Dust→A→C,4379,5064,53
456,177,C→Dust→B→C,70,2361,125
456,178,C→Dust→A→C,2361,3778,125
456,179,C→Dust→A→C,3778,4716,125
456,180,C→Dust→A→C,4716,4916,125
456,181,C→Dust→A→C,2543,2791,159
456,182,C→Dust→B→C,2791,5281,159
456,183,C→Dust→A→C,3317,5112,199
456,184,C→Dust→A→C,467,2324,19
456,185,C→Dust→A→C,61,998,31
456,186,C→Dust→B→C,273,4099,26
456,187,C→Dust→B→C,4099,4617,26
456,188,C→Dust→A→C,117,2374,76
456,189,C→Dust→A→C,2374,4545,76
456,190,C→Dust→A→C,1090,1521,85
456,191,C→Dust→B→C,1521,2048,85
456,192,C→Dust→B→C,2048,5197,85
456,193,C→Dust→A→C,219,1831,123
456,194,C→Dust→A→C,2110,4115,123
456,195,C→Dust→B→C,4115,4963,123
456,196,C→Dust→B→C,370,3106,133
456,197,C→Dust→B→C,3106,3985,133
456,198,C→Dust→A→C,3985,4833,133
456,199,C→Dust→A→C,769,2492,151
456,200,C→Dust→A→C,2492,5048,151
456,201,C→Dust→A→C,102,2247,177
456,202,C→Dust→A→C,2782,3338,177
456,203,C→Dust→A→C,2539,2803,58
456,204,C→Dust→A→C,135,2018,71
456,205,C→Dust→A→C,2018,2804,71
456,206,C→Dust→A→C,1215,2272,101
456,207,C→Dust→A→C,2272,2908,101
456,208,C→Dust→B→C,2908,4403,101
456,209,C→Dust→A→C,4403,4955,101
456,210,C→Dust→A→C,1444,3021,113
456,211,C→Dust→A→C,349,2543,41
456,212,C→Dust→A→C,2543,2663,41
456,213,C→Dust→B→C,2663,4529,41
456,214,C→Dust→A→C,4529,5091,41
