window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,6085,17,5,0,1.9973,0,34.7,0,0,6.59,1.0,6085.0,646,1.0,406,613,207,2124,0.000897,0.0065,422.4984,0,0.0,0.006,0.001,2,0,0,0,0.044709,0.015625,64,0.6505,0.0447,0.2601
2,5000,3751,4,5,0,1.9974,0,36.9,487,3241,5.23,0.8307,4545.7,510,1.0,373,10,43,2160,0.001024,0.0071,394.8798,1,1.0,0.0047,0.0011,1,0,0,0,0.040356,0.015625,64,0.6128,0.0851,0.2591
3,5000,3420,1,4,0,1.9974,0,43.6,289,3150,4.95,0.8627,3996.8,270,1.0,311,5,67,2082,0.001051,0.0098,255.7034,2,2.0,0.0061,0.0015,0,0,0,0,0.037121,0.015625,63,0.5791,0.1222,0.2542
4,5000,3188,2,5,0,1.9973,0,52.5,77,3141,4.69,0.875,3689.3,47,1.0,262,2,51,1834,0.001258,0.0132,66.092,3,2.9,0.01,0.0024,2,0,0,0,0.042161,0.015625,63,0.6294,0.1578,0.266
5,5000,3019,1,5,0,1.9973,0,75.1,3,3011,4.38,0.8711,3465.9,8,1.0,241,4,25,1773,0.001287,0.0244,13.7457,4,3.9,0.0119,0.003,1,0,0,0,0.039024,0.015625,63,0.5996,0.1822,0.262
6,5000,3126,2,5,0,1.9982,0,99.6,5,3113,4.48,0.9279,3368.8,13,1.0,217,7,31,1721,0.001335,0.0228,24.1636,5,4.7,0.011,0.0029,1,0,0,0,0.043783,0.015625,63,0.6431,0.2067,0.2644
7,5000,3108,0,0,1,1.9993,2,108.9,5,3098,4.57,0.9408,3303.6,10,1.0,190,2,29,1610,0.001443,0.0188,16.158,6,5.6,0.0122,0.0034,0,0,0,0,0.056507,0.015625,60,0.7235,0.2306,0.2699
8,5000,3031,1,5,0,1.9997,1,119.7,4,3012,4.46,0.9346,3243.0,19,1.0,176,7,21,1533,0.001407,0.0233,36.2903,7,6.5,0.0141,0.0036,1,0,0,0,0.058252,0.015625,59,0.7318,0.2679,0.2757
9,5000,3109,1,5,0,1.9943,1,119.4,0,3100,4.53,0.9667,3216.2,9,1.0,162,1,15,1479,0.001439,0.0181,18.8679,8,7.5,0.0154,0.0039,1,0,0,0,0.054326,0.015625,59,0.7124,0.306,0.2845
10,5000,3057,3,5,0,1.9738,2,132.1,8,3039,4.38,0.9591,3187.3,18,1.0,155,7,14,1442,0.001538,0.0249,38.8769,9,8.2,0.0145,0.004,2,0,0,0,0.06639,0.015625,59,0.7646,0.3724,0.2884
