window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
76,4937,3039,0,0,3,1.966,1,16.5,7,3032,4.44,0.9899,3069.9,7,1.0,39,1,4,755,0.002284,0.0522,27.1493,75,36.3,0.028,0.0106,0,0,0,0,0.108696,0.015625,30,0.8562,4.3091,0.4361,0.0021
77,4928,3101,1,4,3,1.9337,1,16.3,3088,0,4.53,1.0092,3072.8,13,1.0,41,4,2,782,0.002059,0.0495,55.814,76,35.5,0.0266,0.0097,0,0,0,0,0.081081,0.015625,31,0.8073,4.3406,0.4368,0.002102
78,4917,3015,1,5,3,1.9591,1,16.1,5,3005,4.49,0.9829,3067.3,10,1.0,43,2,0,797,0.002203,0.0596,43.29,77,34.8,0.03,0.0118,1,0,0,0,0.076596,0.015625,30,0.796,4.3747,0.4377,0.002107
79,4905,3095,0,0,3,1.871,2,18.8,3086,0,4.54,1.0082,3070.0,9,1.0,42,0,1,795,0.002251,0.0625,41.0959,78,36.6,0.0266,0.0117,0,0,0,0,0.071429,0.015625,30,0.7812,4.4149,0.4393,0.002116
80,4899,3058,2,4,3,1.7472,1,16.0,3,3042,4.52,0.9965,3068.8,16,1.0,43,5,4,819,0.002157,0.0444,67.2269,79,36.5,0.0275,0.0108,0,0,0,0,0.072581,0.015625,33,0.7847,4.4673,0.4401,0.002128
81,4887,2964,2,5,1,1.7475,1,15.9,0,2955,4.47,0.969,3058.8,9,1.0,45,2,0,846,0.00207,0.0464,38.7931,80,35.8,0.0268,0.0114,2,0,0,0,0.07173,0.015625,30,0.7822,4.501,0.4405,0.002144
82,4873,2996,0,0,1,1.7599,2,16.0,0,2996,4.46,0.9814,3052.9,0,1.0,41,0,4,804,0.001999,0.05,0.0,81,38.6,0.0261,0.0106,0,0,0,0,0.070833,0.015625,29,0.7794,4.5719,0.4404,0.002163
83,4862,3001,0,0,0,1.6477,1,15.8,0,3001,4.46,0.9846,3047.9,0,1.0,38,0,3,775,0.001895,0.0537,0.0,82,41.9,0.0301,0.0111,0,1,0,0,0.086777,0.015625,28,0.8199,4.6338,0.4412,0.002186
84,4854,3025,4,5,1,1.9031,1,15.9,9,3011,4.49,0.9932,3045.7,14,1.0,44,9,3,823,0.002233,0.0563,63.3484,83,37.1,0.0256,0.0096,1,0,0,0,0.082251,0.015625,32,0.81,4.6815,0.4419,0.002211
85,4843,3026,0,0,1,1.8567,1,15.8,0,3021,4.48,0.9941,3043.9,5,1.0,43,0,1,817,0.002016,0.0581,21.4592,84,38.7,0.0254,0.0096,0,0,0,0,0.06639,0.015625,30,0.7646,4.7313,0.4429,0.00224
86,4833,3075,1,5,1,1.7922,1,16.0,3070,0,4.54,1.0092,3046.8,5,1.0,40,1,4,803,0.001895,0.0476,20.8333,85,41.8,0.0274,0.0115,1,0,0,0,0.134921,0.015625,30,0.8842,4.7828,0.4441,0.002272
87,4825,2944,0,0,1,1.9463,1,15.9,0,2939,4.45,0.9694,3037.0,5,1.0,38,0,2,750,0.001899,0.0533,22.9358,86,43.3,0.03,0.0124,0,0,0,0,0.137778,0.015625,29,0.8866,4.8451,0.4457,0.002307
88,4817,2956,2,5,0,1.9215,1,15.8,0,2941,4.45,0.9758,3029.3,15,1.0,38,2,2,782,0.00212,0.0508,60.9756,87,44.1,0.027,0.0098,2,1,0,0,0.078125,0.015625,29,0.8,4.888,0.4467,0.002344
89,4809,3001,0,0,3,1.9875,1,15.8,4,2997,4.59,0.9915,3026.6,4,1.0,40,4,2,771,0.002292,0.0578,18.1818,88,42.9,0.0277,0.0103,0,0,0,0,0.088889,0.015625,29,0.8242,4.9369,0.4476,0.002384
90,4804,2909,5,4,3,1.9964,1,15.6,16,2893,4.42,0.9647,3015.4,16,1.0,44,5,1,838,0.001947,0.0516,57.377,89,39.9,0.0229,0.0095,0,0,0,0,0.071429,0.015625,32,0.7812,4.9726,0.4475,0.002426
91,4798,2886,0,0,3,1.9865,1,15.5,4,2882,4.41,0.961,3003.1,4,1.0,43,0,1,826,0.0019,0.0398,18.2648,90,41.6,0.0223,0.0089,0,1,0,0,0.084071,0.015625,32,0.8141,5.0036,0.4478,0.002471
92,4796,2861,0,0,3,1.9735,1,15.5,5,2856,4.4,0.957,2989.6,5,1.0,40,1,4,790,0.001695,0.0514,24.2718,91,44.9,0.027,0.0108,0,2,0,0,0.074766,0.015625,32,0.791,5.0503,0.4483,0.002518
93,4789,2869,3,5,1,1.9418,1,15.7,4,2856,4.38,0.9634,2978.1,13,1.0,42,5,3,795,0.001963,0.0449,54.3933,92,42.0,0.0275,0.011,1,0,0,0,0.077551,0.015625,32,0.7985,5.1156,0.4491,0.002566
94,4782,2989,1,3,1,1.9281,1,15.5,2979,0,4.45,1.0033,2979.1,10,1.0,44,4,2,789,0.00189,0.0568,40.0,93,40.9,0.0259,0.0101,0,0,0,0,0.068182,0.015625,31,0.7708,5.1573,0.4496,0.002617
95,4777,2886,1,3,0,1.8594,2,15.5,4,2872,4.38,0.9716,2970.2,14,1.0,43,3,4,787,0.001883,0.0551,57.8512,94,42.7,0.0274,0.0112,0,0,0,0,0.114173,0.015625,32,0.8631,5.1809,0.4502,0.002669
96,4771,2944,0,0,0,1.7499,2,17.0,4,2932,4.53,0.992,2967.7,12,1.0,42,0,1,755,0.001832,0.045,54.5455,95,44.0,0.0256,0.0102,0,1,0,0,0.081081,0.015625,31,0.8073,5.253,0.4508,0.002722
