window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
1,5000,6366,9,4,0,1.9988,0,16.5,0,0,6.73,1.0,6366.0,609,1.0,372,592,220,2062,0.000944,0.0066,402.7778,0,0.0,0.0,0.0011,0,0,0,0,0.046915,0.015625,64,0.6669,0.0469,0.2895,0,0,372
2,5000,3716,3,4,0,1.9988,0,15.5,484,3237,5.27,0.8128,4632.0,479,1.0,352,12,32,2095,0.001072,0.0076,394.2387,1,1.0,0.0,0.0011,0,0,0,0,0.03776,0.015625,64,0.5862,0.0847,0.2878,0,0,352
3,5000,3322,2,5,0,1.9988,0,15.2,254,3100,4.87,0.8407,3995.5,222,1.0,285,2,69,2025,0.001114,0.011,229.9688,2,2.0,0.011,0.0016,1,0,0,0,0.040747,0.015625,64,0.6165,0.1254,0.2864,0,0,285
4,5000,3162,1,3,0,1.9988,0,15.1,50,3132,4.55,0.8679,3672.1,30,1.0,253,4,36,1768,0.001341,0.0187,46.5839,3,2.9,0.0187,0.0025,0,0,0,0,0.054598,0.015625,63,0.7138,0.18,0.2868,0,0,253
5,5000,3121,1,5,0,1.9987,0,15.1,10,3103,4.52,0.8947,3488.4,18,1.0,226,5,32,1677,0.001364,0.024,28.6678,4,3.9,0.0168,0.0027,1,0,0,0,0.047923,0.015625,62,0.674,0.2168,0.288,0,0,226
6,5000,3161,1,4,0,1.9985,2,15.2,4,3152,4.51,0.9311,3394.9,9,1.0,188,1,39,1509,0.001496,0.023,18.1452,5,4.8,0.0134,0.0033,0,0,0,0,0.051724,0.015625,59,0.6979,0.2474,0.305,0,0,188
7,5000,3024,1,5,0,1.997,2,15.2,0,3019,4.37,0.9158,3302.1,5,1.0,167,1,22,1426,0.001539,0.0192,11.1111,6,5.8,0.0178,0.0036,1,0,0,0,0.051173,0.015625,58,0.6947,0.2943,0.3131,0,0,167
8,5000,3144,1,4,0,1.9958,2,14.9,4,3140,4.53,0.9624,3267.0,4,1.0,153,1,15,1362,0.001575,0.0215,9.0703,7,6.7,0.0172,0.0041,0,0,0,0,0.055914,0.015625,58,0.7206,0.3502,0.3124,0,0,153
9,5000,3101,2,5,0,1.9975,2,14.9,3,3093,4.43,0.9589,3233.8,8,1.0,141,5,17,1318,0.001667,0.0247,20.5128,8,7.5,0.016,0.0042,1,0,0,0,0.041975,0.015625,58,0.6278,0.3922,0.3074,0,0,141
10,5000,3105,2,5,3,1.996,2,15.1,4,3091,4.52,0.9672,3210.4,14,1.0,133,2,10,1269,0.00176,0.0249,36.0825,9,8.3,0.0189,0.005,1,0,0,0,0.059701,0.015625,57,0.7383,0.4295,0.3109,0,0,133
11,5000,3120,0,0,3,1.9972,2,15.0,0,3110,4.46,0.9764,3195.3,10,1.0,121,0,12,1193,0.001738,0.0401,27.933,10,9.5,0.0267,0.0057,0,1,0,0,0.074866,0.015625,55,0.7913,0.483,0.3189,0,0,121
12,5000,3064,0,0,3,1.9988,1,15.0,0,3059,4.43,0.965,3175.1,5,1.0,106,0,15,1068,0.001788,0.0355,16.5017,11,10.4,0.0202,0.0054,0,0,0,0,0.070968,0.015625,53,0.7798,0.5346,0.3248,0,0,106
13,5000,3064,2,5,3,1.977,1,15.1,2,3044,4.53,0.9699,3159.2,20,1.0,105,7,8,1099,0.001987,0.0358,58.642,12,11.0,0.0244,0.0066,2,0,0,0,0.068657,0.015625,51,0.7724,0.5824,0.3333,0,0,105
14,5000,3132,1,5,3,1.968,1,15.0,0,3128,4.48,0.9925,3155.6,4,1.0,100,1,6,1069,0.001862,0.0261,13.5135,13,11.8,0.0168,0.0057,1,0,0,0,0.055556,0.015625,49,0.7188,0.6314,0.336,0,0,100
15,5000,3094,1,3,3,1.9195,2,15.1,0,3094,4.41,0.9829,3147.9,0,1.0,90,1,11,999,0.002158,0.0365,0.0,14,12.7,0.0261,0.0077,0,0,0,0,0.079027,0.015625,47,0.8023,0.6861,0.3427,0,0,90
16,5000,3065,3,5,3,1.9497,2,15.1,7,3049,4.45,0.9767,3138.2,16,1.0,86,7,11,986,0.002137,0.0368,55.1724,15,12.8,0.0219,0.0071,2,0,0,0,0.053512,0.015625,46,0.708,0.7229,0.3452,0,0,86
17,5000,3110,2,5,1,1.9489,2,15.1,5,3095,4.5,0.992,3135.0,15,1.0,84,3,5,1028,0.002442,0.0596,45.9016,16,13.7,0.0245,0.0087,2,0,0,0,0.0721,0.015625,46,0.7833,0.7542,0.3486,0,0,84
18,5000,3100,3,5,3,1.9698,2,15.1,12,3078,4.51,0.99,3131.3,22,1.0,81,7,10,1008,0.002321,0.0363,69.1824,17,13.4,0.0214,0.0076,2,0,0,0,0.081571,0.015625,43,0.8084,0.8204,0.3524,0,0,81
19,5000,3069,0,0,1,1.9458,2,15.1,6,3058,4.42,0.982,3125.1,11,1.0,79,2,4,983,0.002389,0.0571,40.8922,18,14.3,0.0217,0.0087,0,0,0,0,0.075,0.015625,44,0.7917,0.874,0.3544,0,0,79
20,5000,3069,2,5,3,1.9297,1,15.1,10,3049,4.49,0.9837,3119.8,20,1.0,76,3,6,993,0.002429,0.0594,64.6259,19,14.8,0.0242,0.0097,2,0,0,0,0.079208,0.015625,44,0.8027,0.9433,0.3562,0,0,76
21,5000,3129,2,5,3,1.9485,1,15.1,3109,0,4.52,1.0038,3121.0,24,1.0,76,5,5,993,0.002297,0.0418,88.2353,20,14.8,0.0231,0.0081,1,0,0,0,0.066202,0.015625,43,0.764,0.993,0.359,0,0,76
22,5000,3063,1,3,3,1.9788,2,15.1,11,3043,4.45,0.9831,3115.5,20,1.0,73,1,4,959,0.00235,0.0468,74.3494,21,15.6,0.0228,0.0089,0,1,0,0,0.07554,0.015625,43,0.7932,1.0676,0.3613,0,0,73
23,5000,3158,0,0,1,1.9679,2,15.0,3176,0,4.5,1.0207,3122.3,11,1.0,71,2,4,944,0.00228,0.0545,41.8251,22,16.1,0.0225,0.0085,0,0,0,0,0.072727,0.015625,43,0.7852,1.1341,0.3629,0,0,71
24,5000,3138,0,0,3,1.9748,1,15.1,3154,0,4.57,1.01,3125.6,3,1.0,68,0,3,931,0.002087,0.0412,11.4943,23,17.3,0.0232,0.0083,0,0,0,0,0.05618,0.015625,42,0.7219,1.182,0.3669,0,0,68
25,5000,3148,0,0,3,1.9819,1,15.1,3157,0,4.55,1.0099,3128.9,3,1.0,67,0,1,917,0.002208,0.0342,10.6007,24,18.3,0.0253,0.0088,0,0,0,0,0.065068,0.015625,42,0.7599,1.2226,0.3699,0,0,67
26,5000,3137,1,3,1,1.972,1,15.1,3132,0,4.45,1.0038,3130.1,10,1.0,65,6,8,923,0.002133,0.0449,35.1562,25,18.2,0.027,0.0094,0,0,0,0,0.067416,0.015625,42,0.7682,1.2799,0.3718,0,0,65
27,5000,3148,0,0,3,1.9339,1,15.2,3149,0,4.5,1.0072,3132.5,6,1.0,61,1,5,891,0.002152,0.0398,24.4898,26,19.7,0.0213,0.0089,0,1,0,0,0.063745,0.015625,41,0.7549,1.3317,0.3729,0,0,61
28,5000,3138,1,4,1,1.9875,1,15.1,3131,0,4.53,1.0036,3133.7,14,1.0,62,6,5,869,0.002229,0.0483,55.5556,27,19.5,0.0244,0.0099,0,0,0,0,0.063197,0.015625,41,0.7528,1.38,0.3729,0,0,62
29,4998,3185,2,5,3,1.9993,1,15.1,3204,0,4.59,1.024,3141.6,13,1.0,63,5,4,902,0.0021,0.0447,55.794,28,19.6,0.0201,0.0077,1,0,0,0,0.056911,0.015625,41,0.7254,1.4369,0.3731,0,0,63
30,4998,3046,0,0,1,1.995,2,15.0,1,3040,4.43,0.9724,3132.5,6,1.0,61,1,3,898,0.002268,0.0413,21.3675,29,21.2,0.0284,0.0092,0,0,0,0,0.061983,0.015625,42,0.7479,1.4989,0.3753,0,0,61
