seed,window,rate,n_C,r_000,r_001,r_010,r_011,r_100,r_101,r_110,r_111,bd_0,bd_1,sz_0,sz_1,f_0,f_1,intr_0,intr_1,intr_2p,cp_full_types,cp_full_entropy
123,1,0.002,118,100,8,0,0,0,0,0,10,111,7,118,0,59,59,115,2,1,11,1.9393
123,2,0.002,74,56,5,0,13,0,0,0,0,62,12,73,1,45,29,71,2,1,9,2.2066
123,3,0.002,29,22,3,0,2,0,0,0,2,26,3,29,0,20,9,26,1,2,9,2.3836
123,4,0.002,21,21,0,0,0,0,0,0,0,21,0,21,0,16,5,21,0,0,2,0.7919
123,5,0.002,12,11,0,0,0,0,0,0,1,11,1,12,0,6,6,11,1,0,3,1.325
123,6,0.002,16,14,2,0,0,0,0,0,0,16,0,16,0,7,9,16,0,0,4,1.5306
123,7,0.002,17,12,3,0,2,0,0,0,0,15,2,15,2,7,10,17,0,0,4,1.8512
123,8,0.002,17,16,1,0,0,0,0,0,0,17,0,17,0,6,11,17,0,0,3,1.221
123,9,0.002,16,14,0,0,1,0,0,0,1,14,2,16,0,6,10,15,1,0,5,1.7744
123,10,0.002,24,18,2,0,3,0,0,0,1,21,3,24,0,10,14,24,0,0,7,2.0629
123,11,0.002,11,6,2,0,3,0,0,0,0,8,3,11,0,4,7,11,0,0,5,2.1867
123,12,0.002,11,11,0,0,0,0,0,0,0,11,0,11,0,6,5,11,0,0,2,0.994
123,13,0.002,10,6,2,0,2,0,0,0,0,10,0,10,0,5,5,8,1,1,7,2.6464
123,14,0.002,14,9,1,0,3,0,0,0,1,10,4,14,0,7,7,14,0,0,6,2.2638
123,15,0.002,16,11,4,0,0,0,0,0,1,15,1,16,0,8,8,16,0,0,5,2.055
123,16,0.002,19,12,4,0,0,0,0,0,3,18,1,19,0,8,11,16,1,2,9,2.8603
123,17,0.002,19,13,4,0,1,0,0,0,1,17,2,18,1,8,11,18,1,0,7,2.3523
123,18,0.002,16,14,1,0,1,0,0,0,0,15,1,16,0,11,5,16,0,0,4,1.4913
123,19,0.002,11,10,0,0,1,0,0,0,0,10,1,11,0,6,5,11,0,0,3,1.3222
123,20,0.002,10,10,0,0,0,0,0,0,0,10,0,10,0,3,7,10,0,0,2,0.8813
123,21,0.002,13,10,0,0,3,0,0,0,0,10,3,13,0,2,11,13,0,0,3,1.3347
123,22,0.002,26,18,0,0,4,0,0,0,4,19,7,26,0,11,15,26,0,0,7,2.2399
123,23,0.002,13,10,0,0,3,0,0,0,0,12,1,13,0,7,6,12,1,0,5,1.9878
123,24,0.002,23,19,3,0,0,0,0,0,1,23,0,23,0,12,11,20,2,1,8,2.2248
123,25,0.002,26,20,1,0,0,0,0,0,5,24,2,25,1,16,10,26,0,0,7,2.0175
