seed,rate,window,k_star,is_switch,J2,J3,J4,dJ34,dJ32,H2,H3,H4,dH32,dH43,none_ratio,mid_strong_ratio,n_C
55,0.0005,23,4,0,1.0905,1.0905,1.1653,0.0748,0.0,1.6106,1.6106,1.7534,0.0,0.1428,0.7143,0.2857,14
55,0.0005,24,2,1,0.0069,0.0069,0.0069,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,4
55,0.0005,25,3,0,0.6885,1.1894,1.1894,0.0,0.5009,1.2516,1.7925,1.7925,0.5409,0.0,0.6667,0.1667,12
55,0.0005,23,4,0,1.0905,1.0905,1.1653,0.0748,0.0,1.6106,1.6106,1.7534,0.0,0.1428,0.7143,0.2857,14
55,0.0005,24,2,0,0.0069,0.0069,0.0069,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,4
55,0.0005,25,3,1,0.6885,1.1894,1.1894,0.0,0.5009,1.2516,1.7925,1.7925,0.5409,0.0,0.6667,0.1667,12
123,0.0005,9,3,0,-0.115,0.4656,0.4656,0.0,0.5806,-0.0,0.8454,0.8454,0.8454,0.0,0.7273,0.0,11
123,0.0005,10,3,0,1.1671,1.3216,1.3216,0.0,0.1545,1.7465,2.0226,2.0226,0.2761,0.0,0.6,0.3333,15
123,0.0005,11,4,1,0.5921,0.7806,1.1242,0.3436,0.1885,1.1401,1.4885,1.823,0.3484,0.3345,0.6923,0.2308,13
123,0.0005,12,4,0,-0.0827,-0.025,0.0306,0.0556,0.0577,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,18
123,0.0005,13,3,0,0.291,0.9541,0.9541,0.0,0.6631,0.953,1.6135,1.6135,0.6605,0.0,0.6842,0.1053,19
123,0.0005,11,4,0,0.5921,0.7806,1.1242,0.3436,0.1885,1.1401,1.4885,1.823,0.3484,0.3345,0.6923,0.2308,13
123,0.0005,12,4,0,-0.0827,-0.025,0.0306,0.0556,0.0577,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,18
123,0.0005,13,3,1,0.291,0.9541,0.9541,0.0,0.6631,0.953,1.6135,1.6135,0.6605,0.0,0.6842,0.1053,19
123,0.0005,14,3,0,-0.162,0.0015,0.0015,0.0,0.1635,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,12
123,0.0005,15,3,0,0.1781,1.106,1.106,0.0,0.9279,0.8659,1.6767,1.6767,0.8108,0.0,0.5455,0.0909,11
123,0.0005,14,3,0,-0.162,0.0015,0.0015,0.0,0.1635,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,12
123,0.0005,15,3,0,0.1781,1.106,1.106,0.0,0.9279,0.8659,1.6767,1.6767,0.8108,0.0,0.5455,0.0909,11
123,0.0005,16,4,1,-0.2003,0.1154,0.2905,0.1751,0.3157,0.3712,0.3712,0.7345,0.0,0.3633,0.9286,0.0714,14
123,0.0005,17,4,0,0.2253,0.542,0.5766,0.0346,0.3167,0.8659,1.2776,1.2776,0.4117,0.0,0.8182,0.0909,22
123,0.0005,18,3,0,-0.244,-0.1492,-0.1492,0.0,0.0948,0.4822,0.7196,0.7196,0.2374,0.0,0.92,0.04,25
123,0.0005,16,4,0,-0.2003,0.1154,0.2905,0.1751,0.3157,0.3712,0.3712,0.7345,0.0,0.3633,0.9286,0.0714,14
123,0.0005,17,4,0,0.2253,0.542,0.5766,0.0346,0.3167,0.8659,1.2776,1.2776,0.4117,0.0,0.8182,0.0909,22
123,0.0005,18,3,1,-0.244,-0.1492,-0.1492,0.0,0.0948,0.4822,0.7196,0.7196,0.2374,0.0,0.92,0.04,25
123,0.0005,19,3,0,-0.3627,-0.0787,-0.0787,0.0,0.284,0.2864,0.7476,0.7476,0.4612,0.0,0.85,0.05,20
123,0.0005,20,3,0,-0.1501,-0.0452,-0.0452,0.0,0.1049,0.6686,0.6686,0.6686,0.0,0.0,0.9375,0.0625,16
123,0.0005,19,3,0,-0.3627,-0.0787,-0.0787,0.0,0.284,0.2864,0.7476,0.7476,0.4612,0.0,0.85,0.05,20
123,0.0005,20,3,0,-0.1501,-0.0452,-0.0452,0.0,0.1049,0.6686,0.6686,0.6686,0.0,0.0,0.9375,0.0625,16
123,0.0005,21,4,1,1.2896,1.4379,1.6298,0.1919,0.1483,1.8231,2.0049,2.2999,0.1818,0.295,0.4545,0.4545,11
123,0.0005,22,3,0,0.2962,0.3799,0.3799,0.0,0.0837,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,4
123,0.0005,23,3,0,0.9871,1.1261,1.1261,0.0,0.139,1.6412,1.8776,1.8776,0.2364,0.0,0.7143,0.2381,21
123,0.0005,20,3,0,-0.1501,-0.0452,-0.0452,0.0,0.1049,0.6686,0.6686,0.6686,0.0,0.0,0.9375,0.0625,16
123,0.0005,21,4,0,1.2896,1.4379,1.6298,0.1919,0.1483,1.8231,2.0049,2.2999,0.1818,0.295,0.4545,0.4545,11
123,0.0005,22,3,1,0.2962,0.3799,0.3799,0.0,0.0837,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,4
123,0.0005,23,3,0,0.9871,1.1261,1.1261,0.0,0.139,1.6412,1.8776,1.8776,0.2364,0.0,0.7143,0.2381,21
123,0.0005,24,3,0,-0.0461,0.4285,0.4285,0.0,0.4746,0.6144,1.2332,1.2332,0.6188,0.0,0.7778,0.0556,18
314,0.0005,1,3,0,0.0194,0.3323,0.3323,0.0,0.3129,1.1804,1.6248,1.6248,0.4444,0.0,0.7476,0.1456,103
314,0.0005,2,3,0,-0.0561,0.0118,0.0118,0.0,0.0679,0.7304,0.9111,0.9111,0.1807,0.0,0.8857,0.0857,70
314,0.0005,3,4,1,-0.1606,0.007,0.3957,0.3887,0.1676,0.8031,1.0975,1.3863,0.2944,0.2888,0.8333,0.1111,18
314,0.0005,4,4,0,-0.2903,-0.2218,-0.1653,0.0565,0.0685,0.3095,0.3095,0.3095,0.0,0.0,0.9444,0.0556,18
314,0.0005,5,2,0,0.4051,0.4051,0.4051,0.0,0.0,1.2433,1.2433,1.2433,0.0,0.0,0.8636,0.1364,22
