window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
1,5000,5960,20,5,0,1.9981,0,18.0,0,0,6.49,1.0,5960.0,614,1.0,392,578,186,2214,0.000927,0.0069,389.7012,0,0.0,0.0064,0.0011,1,0,0,0,0.035131,0.015625,64,0.5552,0.0351,0.2349,0.003
2,5000,3772,2,3,0,1.9981,0,16.9,440,3326,5.29,0.8411,4522.7,446,1.0,373,13,32,2245,0.001015,0.0073,356.23,1,1.0,0.0067,0.0011,0,0,0,0,0.034146,0.015625,64,0.5424,0.0693,0.2228,0.003
3,5000,3435,1,5,0,1.9981,0,22.3,221,3221,4.92,0.865,3984.8,214,1.0,297,1,77,2166,0.001049,0.0108,218.5904,2,2.0,0.007,0.0015,1,0,0,0,0.038111,0.015625,64,0.59,0.0966,0.2235,0.003
4,5000,3157,3,4,0,1.9982,0,16.9,101,3096,4.66,0.8726,3672.9,61,1.0,262,15,50,1930,0.001235,0.0141,83.7989,3,2.8,0.0077,0.0024,0,0,0,0,0.038412,0.015625,64,0.5932,0.135,0.2261,0.003
5,5000,3100,0,0,3,1.9981,0,16.8,5,3088,4.52,0.8903,3481.9,12,1.0,233,2,31,1806,0.001315,0.0193,17.2956,4,3.8,0.0119,0.0026,0,0,0,0,0.047407,0.015625,62,0.6704,0.1622,0.2323,0.003
6,5000,3123,0,0,0,1.9977,1,16.7,8,3115,4.59,0.9241,3379.4,8,1.0,199,3,37,1644,0.001363,0.0147,15.748,5,4.8,0.0092,0.0029,0,0,0,0,0.038462,0.015625,62,0.5938,0.2006,0.2319,0.003
7,5000,3099,2,5,0,1.9978,1,16.6,9,3090,4.43,0.9365,3309.3,9,1.0,176,2,25,1516,0.001479,0.0217,18.4426,6,5.7,0.0092,0.0032,1,0,0,0,0.043478,0.015625,61,0.6406,0.2441,0.2399,0.003
8,5000,3161,3,5,3,1.9955,1,16.5,6,3143,4.5,0.9648,3276.3,18,1.0,158,6,24,1484,0.001592,0.0228,29.21,7,6.6,0.0179,0.0041,3,0,0,0,0.045549,0.015625,62,0.657,0.2855,0.2335,0.003
9,5000,2993,0,0,0,1.9981,2,16.5,9,2979,4.44,0.9296,3219.7,14,1.0,146,4,16,1369,0.001598,0.0319,33.1754,8,7.4,0.0175,0.0043,0,0,0,0,0.045558,0.015625,61,0.657,0.3197,0.235,0.003
10,5000,3150,0,0,3,1.9938,1,16.5,11,3139,4.54,0.9822,3207.0,11,1.0,132,2,16,1300,0.001702,0.0271,23.0179,9,8.4,0.0236,0.0051,0,1,0,0,0.064039,0.015625,61,0.756,0.3468,0.2395,0.003
