window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,bg_prob_effective
256,4676,2851,1,5,1,1.778,1,14.8,0,2841,4.38,0.9942,2867.8,10,1.0,70,1,1,1361,0.000691,0.0311,27.248,243,102.6,0.0145,0.0057,1,0,0,0,0.056995,0.015625,46,0.7259,11.4854,0.3661,0.003
257,4676,2888,0,0,3,1.7718,2,16.4,2873,0,4.48,1.0064,2869.7,15,1.0,75,10,5,1380,0.000581,0.0308,33.0189,244,96.7,0.0135,0.0066,0,0,0,0,0.048458,0.015625,48,0.6776,11.4964,0.3655,0.003
258,4676,2844,0,0,3,1.9406,1,19.3,1,2830,4.49,0.9919,2867.2,14,1.0,77,4,2,1384,0.000604,0.0319,33.5917,245,95.1,0.0139,0.0051,0,0,0,0,0.07371,0.015625,47,0.788,11.5136,0.365,0.003
259,4676,2850,0,0,3,1.8736,1,17.6,0,2840,4.45,0.9946,2865.6,10,1.0,74,5,8,1384,0.000562,0.0225,23.9234,246,97.2,0.0138,0.0046,0,2,0,0,0.053933,0.015625,48,0.7103,11.5226,0.3644,0.003
260,4676,2941,0,0,3,1.8736,1,14.7,2938,0,4.5,1.0241,2872.9,4,1.0,68,0,6,1331,0.000523,0.0294,5.5866,247,106.6,0.0147,0.0054,0,0,0,0,0.050802,0.015625,46,0.6924,11.544,0.364,0.003
261,4675,2829,1,3,1,1.9103,1,14.9,1,2819,4.47,0.9862,2868.7,10,1.0,70,9,7,1349,0.000545,0.0334,24.7934,248,104.5,0.0143,0.0063,0,0,0,0,0.061697,0.015625,48,0.7467,11.5543,0.3635,0.003
262,4675,2895,1,5,1,1.9701,1,14.7,2882,0,4.44,1.0083,2871.2,13,1.0,69,4,5,1332,0.000653,0.0353,36.7232,249,106.4,0.015,0.0058,1,0,0,0,0.048913,0.015625,47,0.6806,11.5787,0.3628,0.003
263,4674,2825,1,5,1,1.9649,2,14.8,5,2811,4.43,0.9854,2866.8,14,1.0,72,5,2,1351,0.000697,0.0278,31.5534,250,102.9,0.0142,0.0047,1,0,0,0,0.048724,0.015625,48,0.6793,11.588,0.3623,0.003
264,4674,2874,0,0,3,1.9713,2,14.7,2870,0,4.47,1.0023,2867.5,4,1.0,68,0,4,1339,0.000598,0.0316,11.1111,251,109.9,0.0149,0.0058,0,0,0,0,0.055263,0.015625,48,0.7173,11.5985,0.362,0.003
265,4672,2824,2,5,1,1.9761,1,14.6,0,2814,4.44,0.9863,2863.3,10,1.0,67,2,3,1345,0.000668,0.0325,28.2486,252,112.5,0.0155,0.007,2,0,0,0,0.054201,0.015625,46,0.7117,11.6039,0.3617,0.003
266,4671,2776,0,0,1,1.9822,1,14.6,4,2772,4.38,0.9723,2855.0,4,1.0,69,4,2,1324,0.000629,0.0359,10.6667,253,106.8,0.0152,0.0075,0,1,0,0,0.053846,0.015625,45,0.7098,11.6193,0.3611,0.003
267,4669,2906,0,0,0,1.9899,1,14.6,2902,0,4.49,1.0161,2859.9,4,1.0,69,0,0,1323,0.000632,0.0346,11.0193,254,107.8,0.015,0.0064,0,0,0,0,0.06383,0.015625,45,0.7552,11.6379,0.3607,0.003
268,4667,2868,2,5,3,1.9446,1,14.7,2856,0,4.46,1.0026,2860.7,12,1.0,71,5,3,1370,0.000712,0.0471,27.3632,255,105.7,0.0148,0.0067,1,1,0,0,0.049412,0.015625,46,0.6838,11.6544,0.3601,0.003
269,4664,2910,2,5,3,1.8671,1,14.6,2898,0,4.6,1.0156,2865.4,12,1.0,73,4,2,1359,0.000722,0.0327,31.8302,256,102.6,0.0146,0.0062,1,2,0,0,0.062972,0.015625,46,0.7519,11.6695,0.3597,0.003
270,4664,2883,0,0,3,1.9086,2,14.8,2873,0,4.48,1.0056,2867.0,10,1.0,69,1,5,1339,0.000683,0.0341,22.9592,257,109.4,0.015,0.0067,0,0,0,0,0.053659,0.015625,45,0.7088,11.6793,0.359,0.003
271,4664,2869,2,5,1,1.8262,1,14.6,2856,0,4.47,1.0006,2867.2,13,1.0,70,2,1,1362,0.000676,0.0364,32.7456,258,108.8,0.0151,0.0066,1,0,0,0,0.050971,0.015625,46,0.6935,11.6987,0.3585,0.003
272,4661,2816,1,4,3,1.8787,1,14.7,9,2807,4.38,0.9838,2862.3,9,1.0,70,1,1,1357,0.000703,0.0376,23.5602,259,109.7,0.014,0.0064,0,0,0,0,0.055138,0.015625,46,0.7166,11.7213,0.3582,0.003
273,4660,2850,0,0,3,1.9144,2,14.6,5,2845,4.44,0.9961,2861.2,5,1.0,66,0,4,1326,0.000668,0.0302,12.9534,260,116.8,0.0148,0.0064,0,2,0,0,0.052897,0.015625,45,0.7046,11.7288,0.3576,0.003
274,4657,2813,1,5,3,1.958,1,14.6,5,2803,4.39,0.9847,2856.6,10,1.0,67,1,0,1322,0.00072,0.0364,29.0698,261,116.0,0.0159,0.0069,1,0,0,0,0.058824,0.015625,45,0.7344,11.74,0.3573,0.003
275,4655,2800,1,4,3,1.8901,1,14.7,8,2792,4.41,0.982,2851.2,8,1.0,69,6,4,1357,0.000699,0.0346,20.7254,262,113.6,0.0148,0.0068,0,0,0,0,0.059259,0.015625,47,0.7363,11.7622,0.3571,0.003
276,4654,2777,0,0,3,1.8703,2,14.5,4,2773,4.48,0.9764,2844.1,4,1.0,69,0,0,1335,0.000586,0.0272,10.2041,263,114.6,0.0147,0.0062,0,0,0,0,0.05679,0.015625,45,0.7249,11.7943,0.357,0.003
277,4653,2897,0,0,3,1.819,1,14.6,2894,0,4.48,1.0168,2849.2,3,1.0,67,0,2,1335,0.000491,0.0354,7.772,264,118.8,0.015,0.0064,0,1,0,0,0.060606,0.015625,45,0.7422,11.8221,0.3569,0.003
278,4651,2809,0,0,3,1.8779,1,14.5,0,2806,4.39,0.9872,2845.3,3,1.0,69,3,1,1316,0.00055,0.0317,5.5249,265,116.3,0.0146,0.0062,0,0,0,0,0.058201,0.015625,45,0.7315,11.838,0.3567,0.003
279,4649,2854,1,3,1,1.8742,1,17.9,2851,0,4.42,1.0028,2846.2,3,1.0,68,2,3,1327,0.000501,0.0332,8.0214,266,119.0,0.0148,0.0062,0,0,0,0,0.056122,0.015625,46,0.7216,11.8635,0.3567,0.003
280,4647,2809,0,0,1,1.9299,1,17.2,0,2809,4.43,0.9882,2842.6,0,1.0,66,0,2,1312,0.000565,0.0336,0.0,267,123.5,0.0151,0.007,0,0,0,0,0.058824,0.015625,46,0.7344,11.8747,0.3563,0.003
281,4647,2778,1,3,3,1.9788,1,16.8,3,2775,4.39,0.9794,2836.5,3,1.0,66,2,2,1302,0.000542,0.0296,8.3102,268,124.2,0.0154,0.0066,0,0,0,0,0.051075,0.015625,45,0.6941,11.8774,0.3559,0.003
282,4645,2749,1,5,3,1.9957,1,14.6,0,2744,4.33,0.972,2828.1,5,1.0,65,1,2,1298,0.000475,0.0253,13.2979,269,127.1,0.0156,0.0051,1,0,0,0,0.050505,0.015625,45,0.6906,11.8951,0.3557,0.003
283,4644,2818,1,3,3,1.9839,2,14.5,6,2807,4.44,0.9968,2827.2,11,1.0,67,5,3,1319,0.000541,0.0372,23.1959,270,124.2,0.015,0.0066,0,0,0,0,0.054591,0.015625,45,0.7138,11.9075,0.3555,0.003
