record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,105,1.1077,20,20,consumed
1,78,-1.0645,20,23,expired
2,119,1.7943,20,20,consumed
3,104,0.0938,21,21,consumed
4,116,2.5468,21,24,expired
5,117,2.3654,21,21,consumed
6,75,0.7195,22,22,consumed
7,6,-2.2413,22,22,consumed
8,94,0.6301,23,23,consumed
9,107,-1.4848,25,28,expired
10,67,2.9722,25,25,consumed
11,124,-2.5804,28,28,consumed
12,129,-1.2625,31,31,consumed
13,121,0.6829,31,31,consumed
14,126,1.7975,35,35,consumed
15,137,-1.3699,38,38,consumed
16,123,0.1336,38,38,consumed
17,134,0.4284,38,38,consumed
18,136,-2.2119,39,,
19,138,2.7234,39,39,consumed
20,139,-2.1921,39,,
