record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,110,2.3925,20,20,consumed
1,108,-0.3823,20,20,consumed
2,102,2.5617,20,20,consumed
3,103,1.2558,20,20,consumed
4,112,-0.6692,21,21,consumed
5,93,2.1631,21,21,consumed
6,61,1.3808,22,25,expired
7,106,-0.8881,23,23,consumed
8,62,2.2373,23,26,consumed
9,97,-1.906,24,24,consumed
10,105,-1.6993,25,25,consumed
11,90,0.7649,27,27,consumed
12,115,0.0075,28,28,consumed
13,96,-2.4252,29,29,consumed
14,8,-3.0857,30,30,consumed
15,122,2.4547,32,32,consumed
16,124,2.1445,33,33,consumed
17,118,-2.5122,35,35,consumed
18,123,-2.684,35,35,consumed
19,70,0.9077,35,36,consumed
20,129,1.1883,38,,
