record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,98,-0.0075,20,20,consumed
1,99,2.9165,20,20,consumed
2,109,2.3333,20,20,consumed
3,87,-0.6325,20,20,consumed
4,90,-0.9479,20,20,consumed
5,108,1.9625,21,21,consumed
6,110,-2.2732,21,21,consumed
7,111,-3.0779,21,21,consumed
8,96,2.6993,22,22,consumed
9,68,-2.7888,22,22,consumed
10,101,2.6868,22,22,consumed
11,71,0.2577,22,22,consumed
12,75,-2.0346,22,22,consumed
13,94,-0.9899,23,25,consumed
14,7,-0.569,25,25,consumed
15,105,1.4461,26,29,expired
16,116,-0.9894,28,28,consumed
17,79,0.3776,28,28,consumed
18,57,-3.0082,32,35,expired
19,119,0.6788,33,33,consumed
20,19,2.3879,37,37,consumed
21,29,2.0475,39,39,consumed
