record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,110,20,71,0.056071,1,1,uncontested,,
1,119,20,58,0.189118,1,1,uncontested,,
2,57,21,24,0.017989,1,2,contested,14,0.0965
3,106,21,52,0.029982,1,6,contested,86|81|35|82|59,0.1240|0.1389|0.1411|0.2219|0.2859
4,118,21,80,0.079585,1,3,contested,69|84,0.1430|0.2439
5,38,22,14,0.078479,1,1,uncontested,,
6,116,23,88,0.170292,1,1,uncontested,,
7,73,23,90,0.021001,1,4,contested,79|59|82,0.0334|0.3112|0.3751
8,84,23,86,0.094033,1,5,contested,81|35|82|59,0.1689|0.1711|0.2519|0.3159
10,131,24,79,0.012421,1,4,contested,92|59|82,0.2163|0.2902|0.3541
11,58,25,81,0.002207,1,4,contested,82|59|86,0.0808|0.1447|0.2651
12,107,26,80,0.222614,2,3,contested,87|84,0.3698|0.3869
13,132,26,20,0.028222,1,4,contested,94|93|88,0.1211|0.1277|0.3105
14,136,28,93,0.006573,1,2,contested,20,0.0929
15,129,28,93,0.182776,2,2,contested,20,0.2822
16,137,28,58,0.094272,2,5,contested,83|97|30|98,0.2470|0.2607|0.2741|0.3415
17,135,28,84,0.050722,1,6,contested,87|80|98|97|83,0.0678|0.2150|0.2757|0.3565|0.3702
18,48,29,58,0.368335,3,1,uncontested,,
19,138,30,83,0.013704,1,2,contested,58,0.1665
20,139,30,83,0.09445,2,4,contested,58|84|87,0.2472|0.3264|0.3436
21,130,37,105,0.11237,1,3,contested,92|14,0.2277|0.3630
22,147,39,58,0.346629,4,1,uncontested,,
