record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,104,20,36,0.182984,1,4,contested,11|82|62,0.2414|0.2660|0.3333
1,106,20,2,0.050946,1,2,contested,67,0.2380
2,112,20,77,0.169239,1,2,contested,62,0.2074
3,113,20,1,0.013094,1,3,contested,42|2,0.2692|0.3924
4,116,20,76,0.356258,1,1,uncontested,,
5,117,20,82,0.043442,1,4,contested,11|36|42,0.0681|0.1265|0.1366
6,24,20,1,0.201767,2,2,contested,2,0.2037
7,94,20,53,0.003718,1,2,contested,65,0.2014
8,50,21,27,0.319609,1,1,uncontested,,
10,109,21,62,0.37661,1,1,uncontested,,
11,121,23,2,0.021212,2,3,contested,67|1,0.3102|0.3843
12,49,25,11,0.058415,1,4,contested,82|42|85,0.0830|0.2631|0.2775
14,93,31,91,0.027896,1,5,contested,0|57|87|89,0.0582|0.1832|0.1960|0.3732
15,119,32,91,0.168081,2,5,contested,89|0|65|57,0.1772|0.2542|0.3484|0.3792
16,120,33,42,0.014434,1,4,contested,82|11|1,0.1945|0.2191|0.2417
18,115,35,11,0.024629,2,3,contested,42|94,0.1800|0.2651
19,86,36,94,0.334179,1,2,contested,96,0.3898
20,123,37,65,0.171214,1,2,contested,91,0.3453
21,75,37,65,0.205099,2,2,contested,93,0.2345
