record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,152,-2.4948,20,20,consumed
1,153,-1.7161,20,20,consumed
2,138,-2.7129,20,20,consumed
3,149,-2.3699,20,20,consumed
4,145,1.4128,21,21,consumed
5,23,-2.5474,21,21,consumed
6,112,-2.567,22,22,consumed
7,137,-0.098,22,22,consumed
8,157,2.3816,22,22,consumed
9,151,-2.3805,22,22,consumed
10,156,-1.4113,23,26,expired
11,117,-2.7524,23,23,consumed
12,161,0.3844,26,26,consumed
13,159,-2.8252,26,26,consumed
14,155,-0.7195,29,29,consumed
15,164,2.097,36,39,expired
16,168,-1.7372,38,38,consumed
17,169,-0.9738,39,39,consumed
