record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,89,0.2455,20,20,consumed
1,107,-0.9587,20,20,consumed
2,101,-2.9747,20,20,consumed
3,103,-0.7706,20,20,consumed
4,90,-0.8648,21,21,consumed
5,83,0.2479,21,21,consumed
6,66,1.3135,22,22,consumed
7,25,-0.9246,23,23,consumed
8,105,-1.189,25,25,consumed
9,113,-2.9633,25,25,consumed
10,115,2.2345,27,29,consumed
11,116,-0.7682,28,28,consumed
12,61,2.6732,28,28,consumed
13,50,-0.6871,31,31,consumed
14,125,-2.9555,32,32,consumed
15,117,3.0234,32,32,consumed
16,126,-1.904,32,32,consumed
17,112,-1.0121,33,36,expired
18,124,2.4126,33,33,consumed
19,68,0.4683,34,34,consumed
20,123,-2.923,35,35,consumed
21,109,2.8013,35,35,consumed
22,131,2.4807,37,37,consumed
23,133,0.6127,39,39,consumed
