record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,132,20,84,0.091889,1,6,contested,73|85|93|91|55,0.1106|0.1447|0.2608|0.3624|0.3768
1,133,20,55,0.025714,1,2,contested,73,0.2404
2,135,20,91,0.038228,1,6,contested,93|85|80|84|72,0.1398|0.2559|0.2936|0.3087|0.3205
3,141,20,92,0.098427,1,2,contested,90,0.3601
4,143,20,80,0.084036,1,5,contested,72|69|91|93,0.1109|0.2120|0.2478|0.3493
5,145,20,28,0.014603,1,2,contested,0,0.0897
6,57,20,92,0.196608,2,2,contested,90,0.2619
7,124,20,90,0.09675,1,2,contested,68,0.3725
9,138,21,85,0.217646,1,4,contested,84|80|72,0.2705|0.3318|0.3587
10,140,21,85,0.116089,2,3,contested,84|73,0.1689|0.3714
11,147,21,88,0.348148,1,1,uncontested,,
12,118,21,98,0.055124,1,1,uncontested,,
13,130,22,84,0.05285,2,2,contested,73,0.2553
15,84,22,99,0.005935,1,2,contested,73,0.2662
16,122,22,72,0.026877,1,2,contested,69,0.1280
17,113,23,84,0.202488,3,2,contested,99,0.2602
18,134,23,68,0.295645,1,1,uncontested,,
19,0,24,28,0.104258,2,2,contested,103,0.3485
21,151,25,29,0.095378,1,4,contested,27|100|104,0.1123|0.2091|0.2682
20,155,26,109,0.027568,1,2,contested,108,0.2503
23,157,26,102,0.012844,1,4,contested,103|1|28,0.0813|0.1607|0.3255
24,159,28,108,0.222782,1,1,uncontested,,
22,129,29,112,0.220408,1,1,uncontested,,
25,161,29,100,0.037652,1,5,contested,27|29|104|98,0.0592|0.0761|0.0967|0.3861
26,149,29,112,0.242308,2,1,uncontested,,
27,158,29,68,0.3195,2,1,uncontested,,
28,160,31,69,0.028128,1,2,contested,72,0.0730
29,163,31,104,0.015851,1,5,contested,100|27|29|98,0.0749|0.1717|0.1887|0.2736
30,156,31,98,0.183207,2,1,uncontested,,
31,166,33,68,0.154513,3,1,uncontested,,
32,154,34,100,0.059064,2,4,contested,27|29|98,0.1559|0.1728|0.2894
33,167,35,28,0.234782,3,1,uncontested,,
34,169,38,118,0.221944,1,2,contested,112,0.3252
35,106,38,120,0.270593,1,1,uncontested,,
