record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,109,-1.4267,20,20,consumed
1,116,2.9154,20,20,consumed
2,124,3.1398,20,20,consumed
3,126,-2.7344,20,20,consumed
4,127,-3.0066,20,20,consumed
5,65,1.8354,21,24,expired
6,106,1.2198,21,21,consumed
7,101,2.0749,21,21,consumed
8,79,-3.0239,21,21,consumed
9,123,2.982,23,23,consumed
10,115,-2.8036,24,24,consumed
11,28,2.2563,24,25,consumed
12,71,-2.5511,25,25,consumed
13,129,-2.8886,26,26,consumed
14,120,3.1182,27,27,consumed
15,132,-0.5507,27,27,consumed
16,119,1.417,27,27,consumed
17,128,2.774,29,29,consumed
18,131,-1.8295,30,31,consumed
19,130,2.7154,31,31,consumed
20,100,1.2401,32,32,consumed
21,140,-0.4642,39,,
22,60,-0.6557,39,,
