record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,136,-0.041,20,20,consumed
1,138,-1.1634,20,20,consumed
2,117,-0.2298,20,20,consumed
3,134,-2.2395,20,20,consumed
4,130,2.3563,21,21,consumed
5,139,-3.0524,21,21,consumed
6,124,1.6776,21,21,consumed
7,85,1.3573,21,21,consumed
8,96,-2.8305,22,22,consumed
9,133,-0.814,22,22,consumed
10,102,1.8544,22,22,consumed
11,115,-2.3985,23,23,consumed
12,125,-2.5587,23,23,consumed
13,73,0.9149,24,27,consumed
14,129,0.3946,25,25,consumed
15,78,-2.0068,25,25,consumed
16,132,-1.7946,29,29,consumed
17,123,-0.9772,30,30,consumed
18,107,-1.6742,31,33,consumed
19,140,0.2337,31,34,expired
20,22,2.5785,32,32,consumed
21,148,-1.4519,34,37,expired
22,143,-2.4162,35,35,consumed
23,149,0.9112,36,36,consumed
24,147,1.1988,39,39,consumed
