record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,96,-1.8409,20,20,consumed
1,97,0.6519,20,20,consumed
2,102,0.5104,20,20,consumed
3,103,-2.7922,20,20,consumed
4,95,0.8212,20,20,consumed
5,104,-1.7654,21,21,consumed
6,101,1.8822,22,22,consumed
7,106,-0.7021,23,26,expired
8,94,0.6118,23,23,consumed
9,35,-1.7814,24,24,consumed
10,111,0.7684,27,30,expired
11,112,2.2473,28,28,consumed
12,110,-0.2196,28,28,consumed
13,0,-2.5037,30,30,consumed
14,114,3.1264,31,34,expired
15,107,-1.778,31,33,consumed
16,113,2.304,33,33,consumed
17,116,-2.5393,33,33,consumed
18,123,-0.4483,36,39,consumed
19,115,1.3294,36,37,consumed
