record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,112,2.9402,20,20,consumed
1,133,2.6029,21,21,consumed
2,31,-1.0692,21,21,consumed
3,101,2.8468,23,23,consumed
4,126,0.5772,25,25,consumed
5,49,1.913,27,27,consumed
6,108,0.2459,27,27,consumed
7,32,-1.4662,28,28,consumed
8,102,-0.2341,29,29,consumed
9,137,-0.266,30,30,consumed
10,109,-1.0074,30,30,consumed
11,46,-1.6299,31,31,consumed
12,135,-0.4334,31,31,consumed
13,144,-2.7306,32,32,consumed
14,138,-2.1694,32,35,expired
15,143,1.0048,32,32,consumed
16,146,1.7054,36,36,consumed
17,139,2.0386,36,36,consumed
18,148,1.9494,36,36,consumed
19,145,-2.9344,37,37,consumed
