record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,132,0.5576,20,20,consumed
1,133,0.9087,20,20,consumed
2,135,0.157,20,20,consumed
3,141,-0.8534,20,20,consumed
4,143,-0.0525,20,20,consumed
5,145,3.0582,20,20,consumed
6,57,-0.9515,20,20,consumed
7,124,-1.3102,20,20,consumed
8,136,-1.2135,21,24,expired
9,138,0.1952,21,21,consumed
10,140,0.2968,21,21,consumed
11,147,-2.3265,21,21,consumed
12,118,2.0099,21,21,consumed
13,130,0.4129,22,22,consumed
14,139,-0.7549,22,25,expired
15,84,0.9344,22,22,consumed
16,122,-0.1366,22,22,consumed
17,113,0.6682,23,23,consumed
18,134,-1.9784,23,23,consumed
19,0,-3.1353,24,24,consumed
20,155,-2.2526,25,26,consumed
21,151,1.3972,25,25,consumed
22,129,0.4657,26,29,consumed
23,157,2.7181,26,26,consumed
24,159,-2.225,28,28,consumed
25,161,1.5687,29,29,consumed
26,149,0.9284,29,29,consumed
27,158,-2.0022,29,29,consumed
28,160,-0.2364,31,31,consumed
29,163,1.6812,31,31,consumed
30,156,2.138,31,31,consumed
31,166,-1.5282,33,33,consumed
32,154,1.6654,34,34,consumed
33,167,-3.0048,35,35,consumed
34,169,1.0113,38,38,consumed
35,106,-1.6827,38,38,consumed
