record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,136,20,1,0.202537,1,1,uncontested,,
1,138,20,23,0.113422,1,4,contested,79|90|96,0.1203|0.1862|0.3494
2,117,20,1,0.01367,2,1,uncontested,,
3,134,20,52,0.13418,1,4,contested,82|56|92,0.1590|0.2327|0.3192
4,130,21,8,0.076166,1,4,contested,70|17|47,0.1533|0.2222|0.2935
5,139,21,75,0.079185,1,3,contested,74|68,0.1777|0.2220
6,124,21,103,0.004282,1,2,contested,72,0.1768
7,85,21,103,0.316034,2,1,uncontested,,
8,96,22,74,0.044235,1,3,contested,75|92,0.1428|0.2717
9,133,22,90,0.1632,1,4,contested,102|79|23,0.1823|0.2291|0.2360
10,102,22,103,0.181049,3,1,uncontested,,
11,115,23,104,0.017648,1,3,contested,52|56,0.2932|0.3917
12,125,23,104,0.142569,2,2,contested,74,0.3160
14,129,25,101,0.160943,1,1,uncontested,,
15,78,25,52,0.098495,2,3,contested,95|76,0.2122|0.3327
13,73,27,105,0.003299,1,1,uncontested,,
16,132,29,76,0.120466,1,2,contested,52,0.3107
17,123,30,102,0.019094,1,3,contested,79|23,0.0659|0.0728
20,22,32,70,0.068882,1,3,contested,47|8,0.0713|0.2984
18,107,33,109,0.222258,1,1,uncontested,,
22,143,35,52,0.310825,3,1,uncontested,,
23,149,36,105,0.000393,2,3,contested,106|108,0.1463|0.2876
24,147,39,105,0.28718,3,1,uncontested,,
