record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,75,20,31,0.120459,1,3,contested,84|52,0.2638|0.3367
1,109,20,29,0.152733,1,1,uncontested,,
2,110,20,74,0.020826,1,3,contested,70|63,0.0495|0.3234
3,73,21,84,0.072905,1,4,contested,33|31|56,0.2117|0.2162|0.3611
4,101,22,70,0.070317,1,2,contested,63,0.3442
5,68,23,80,0.008857,1,3,contested,85|40,0.1574|0.2589
6,78,24,88,0.102455,1,6,contested,33|9|34|72|73,0.1494|0.1792|0.2113|0.2197|0.3442
7,103,25,71,0.10123,1,1,uncontested,,
8,115,26,31,0.143315,2,3,contested,33|87,0.2846|0.3301
9,123,30,86,0.08032,1,4,contested,83|93|32,0.1348|0.1876|0.2734
10,126,30,86,0.046969,2,4,contested,83|93|32,0.1015|0.2210|0.2401
11,128,34,93,0.101993,1,5,contested,86|83|40|32,0.1659|0.2204|0.3089|0.3591
12,131,34,94,0.024476,1,4,contested,70|91|63,0.1077|0.2670|0.3816
13,134,36,93,0.012349,2,5,contested,40|86|85|83,0.1946|0.2803|0.2962|0.3348
14,135,39,80,0.098016,2,3,contested,85|40,0.2465|0.3481
