record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,128,-2.625,20,20,consumed
1,118,-0.1839,20,23,expired
2,78,0.1221,20,20,consumed
3,127,-0.4114,20,20,consumed
4,116,2.9091,21,21,consumed
5,53,0.5997,21,21,consumed
6,117,2.8386,22,22,consumed
7,130,-0.0576,25,28,expired
8,135,1.0344,29,29,consumed
9,126,-0.6322,30,33,consumed
10,136,-2.5175,31,31,consumed
11,134,2.8849,31,31,consumed
12,131,1.3303,35,35,consumed
13,141,2.4032,35,35,consumed
14,144,-0.8869,37,37,consumed
15,146,-0.9643,38,38,consumed
16,143,-2.884,38,38,consumed
17,133,-1.6713,39,39,consumed
