record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,103,20,6,0.22437,1,3,contested,77|76,0.2682|0.3882
1,107,20,78,0.125502,1,1,uncontested,,
2,109,20,69,0.230195,1,3,contested,78|76,0.3363|0.3514
3,48,20,67,0.147,1,3,contested,79|17,0.2908|0.3081
4,118,20,22,0.274796,1,1,uncontested,,
5,120,20,71,0.095502,1,4,contested,77|28|6,0.1899|0.2304|0.2337
6,121,20,84,0.046072,1,1,uncontested,,
7,108,21,28,0.264729,1,1,uncontested,,
8,111,21,69,0.121217,2,1,uncontested,,
9,112,21,6,0.043786,2,2,contested,71,0.2854
11,116,21,17,0.017285,1,4,contested,67|75|27,0.1438|0.1631|0.1689
12,105,23,28,0.134922,2,2,contested,6,0.3292
13,126,23,84,0.081527,2,1,uncontested,,
14,127,24,69,0.287839,3,1,uncontested,,
15,129,27,69,0.384073,4,1,uncontested,,
16,89,30,89,0.017742,1,3,contested,83|87,0.2303|0.3069
17,132,30,83,0.06074,1,3,contested,89|68,0.3088|0.3131
18,84,30,7,0.090806,1,2,contested,68,0.2737
20,137,34,28,0.119229,3,2,contested,6,0.3449
22,139,36,87,0.021231,1,2,contested,89,0.3104
23,140,36,99,0.055006,1,5,contested,17|75|27|67,0.0550|0.0908|0.0966|0.2161
21,42,39,104,0.238747,1,1,uncontested,,
24,145,39,83,0.045483,2,2,contested,89,0.2026
25,141,39,17,3.7e-05,2,5,contested,75|27|67|101,0.1458|0.1516|0.1611|0.3899
