record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,103,0.5024,20,20,consumed
1,107,-0.448,20,20,consumed
2,109,-0.2371,20,20,consumed
3,48,-2.4509,20,20,consumed
4,118,-1.7451,20,20,consumed
5,120,0.9605,20,20,consumed
6,121,-1.1291,20,20,consumed
7,108,1.4557,21,21,consumed
8,111,0.1143,21,21,consumed
9,112,0.7706,21,21,consumed
10,115,-0.5735,21,24,expired
11,116,-2.7417,21,21,consumed
12,105,1.056,23,23,consumed
13,126,-1.1645,23,23,consumed
14,127,0.2809,24,24,consumed
15,129,-0.391,27,27,consumed
16,89,2.0368,30,30,consumed
17,132,2.3279,30,30,consumed
18,84,2.9146,30,30,consumed
19,102,-0.0069,31,34,expired
20,137,1.0717,34,34,consumed
21,42,1.1909,36,39,consumed
22,139,1.7087,36,36,consumed
23,140,-2.8141,36,36,consumed
24,145,2.2217,39,39,consumed
25,141,-2.7591,39,39,consumed
