record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,121,20,1,0.105606,1,2,contested,70,0.2327
1,116,20,54,0.069469,1,2,contested,52,0.2663
2,93,20,80,0.051,1,4,contested,51|45|70,0.0786|0.1120|0.3343
3,64,21,51,0.033402,1,3,contested,80|70,0.0610|0.2223
4,75,21,15,0.003909,1,2,contested,83,0.0578
6,39,21,57,0.017855,1,5,contested,40|0|81|69,0.0689|0.2316|0.2462|0.3023
7,120,22,0,0.0146,1,3,contested,57|40,0.2641|0.3151
8,124,22,52,0.052004,1,2,contested,54,0.1448
9,100,22,0,0.070696,2,3,contested,57|40,0.3202|0.3712
10,62,24,70,0.255734,1,1,uncontested,,
11,110,24,70,0.283325,2,1,uncontested,,
12,125,25,15,0.0725,2,2,contested,83,0.1264
13,127,27,0,0.264353,3,1,uncontested,,
14,130,28,70,0.115377,3,2,contested,1,0.2229
15,126,29,57,0.01884,2,3,contested,40|0,0.0322|0.2683
16,129,31,54,0.019237,2,2,contested,52,0.1776
17,132,31,95,0.041869,1,2,contested,93,0.2661
18,135,31,54,0.289319,3,1,uncontested,,
19,80,32,40,0.051011,1,2,contested,0,0.2495
21,137,36,15,0.018407,3,3,contested,83|23,0.0354|0.3826
22,138,37,101,0.016125,1,3,contested,85|84,0.0671|0.0981
23,128,39,52,0.357082,2,1,uncontested,,
