record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,41,20,98,0.026024,1,6,contested,26|48|99|46|13,0.0809|0.1018|0.2268|0.2586|0.2659
1,162,20,89,0.127841,1,2,contested,97,0.3725
2,163,20,13,0.000714,1,5,contested,28|48|26|98,0.1529|0.1634|0.1843|0.2392
3,158,20,65,0.181666,1,1,uncontested,,
5,119,21,6,0.123042,1,1,uncontested,,
6,92,22,97,0.035815,1,2,contested,28,0.3670
7,165,22,58,0.013765,1,4,contested,106|47|19,0.2042|0.2217|0.2822
9,150,23,46,0.031832,1,6,contested,98|110|26|48|111,0.2528|0.2748|0.3077|0.3286|0.3620
10,87,24,47,0.207926,1,3,contested,106|19,0.2179|0.2960
8,98,25,114,0.139212,1,1,uncontested,,
11,169,25,114,0.339692,2,1,uncontested,,
13,166,25,98,0.021966,2,7,contested,26|48|111|13|46|28,0.0329|0.0538|0.0872|0.2179|0.3066|0.3702
12,148,27,117,0.219274,1,1,uncontested,,
14,149,27,26,0.054855,1,6,contested,48|111|13|46|28,0.0758|0.1092|0.2399|0.2846|0.3921
15,125,28,112,0.303725,1,2,contested,27,0.3054
17,34,31,106,0.078053,1,1,uncontested,,
19,181,33,47,0.15361,2,1,uncontested,,
20,183,34,124,0.07141,1,3,contested,126|123,0.2036|0.2644
21,179,36,126,0.060876,1,3,contested,6|124,0.1729|0.1930
22,9,39,126,0.233761,2,3,contested,121|124,0.3422|0.3659
