record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,129,20,53,0.296709,1,2,contested,0,0.3452
1,112,20,52,0.122753,1,1,uncontested,,
2,114,20,52,0.286942,2,1,uncontested,,
3,123,20,53,0.07175,2,2,contested,0,0.1202
4,127,20,92,0.277886,1,3,contested,80|29,0.3141|0.3924
5,1,21,29,0.142157,1,2,contested,80,0.2204
6,106,21,93,0.070477,1,3,contested,71|28,0.2990|0.3264
7,117,21,12,0.209568,1,1,uncontested,,
8,86,21,96,0.000906,1,3,contested,71|93,0.1268|0.3554
9,134,23,53,0.018667,3,2,contested,0,0.0298
10,31,23,94,0.165554,1,1,uncontested,,
11,135,26,96,0.053792,2,2,contested,71,0.1797
12,124,29,98,0.368299,1,1,uncontested,,
13,92,30,96,0.125887,3,2,contested,93,0.2286
14,138,32,12,0.047261,2,1,uncontested,,
15,136,33,52,0.369371,3,1,uncontested,,
16,145,37,96,0.163808,4,2,contested,93,0.1906
17,143,37,93,0.021931,2,2,contested,96,0.3764
18,146,38,80,0.071677,1,4,contested,29|104|108,0.1499|0.1792|0.1864
19,142,38,52,0.123263,4,1,uncontested,,
