record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,41,2.408,20,20,consumed
1,162,1.2145,20,20,consumed
2,163,2.1428,20,20,consumed
3,158,-0.4322,20,20,consumed
4,126,1.0867,21,24,expired
5,119,-3.0066,21,21,consumed
6,92,1.6228,22,22,consumed
7,165,-1.7812,22,22,consumed
8,98,-0.6139,23,25,consumed
9,150,2.6347,23,23,consumed
10,87,-1.7674,24,24,consumed
11,169,-1.0928,25,25,consumed
12,148,1.587,25,27,consumed
13,166,2.36,25,25,consumed
14,149,2.3819,27,27,consumed
15,125,0.3823,28,28,consumed
16,173,1.3677,29,32,expired
17,34,-2.0634,31,31,consumed
18,161,-1.9853,33,36,expired
19,181,-1.7131,33,33,consumed
20,183,-2.4462,34,34,consumed
21,179,-2.7106,36,36,consumed
22,9,-2.8835,39,39,consumed
