record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,123,2.0143,20,20,consumed
1,127,1.9803,20,20,consumed
2,126,0.7802,20,20,consumed
3,119,1.9149,20,20,consumed
4,107,-0.8461,23,23,consumed
5,124,1.6659,24,27,expired
6,118,-1.2221,24,24,consumed
7,98,-2.8486,25,25,consumed
8,96,-1.7611,27,27,consumed
9,99,3.1141,27,27,consumed
10,116,0.8208,27,27,consumed
11,129,2.5653,30,30,consumed
12,134,-1.8721,30,30,consumed
13,110,2.9423,33,33,consumed
14,138,-2.7387,34,34,consumed
15,143,2.5881,35,35,consumed
16,142,0.3584,37,37,consumed
17,135,-1.1201,38,38,consumed
18,146,0.7391,39,39,consumed
19,139,1.6527,39,,
