record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,75,0.4656,20,20,consumed
1,109,1.779,20,20,consumed
2,110,-3.1252,20,20,consumed
3,73,0.129,21,21,consumed
4,101,3.1371,22,22,consumed
5,68,-1.2885,23,23,consumed
6,78,-0.2321,24,24,consumed
7,103,1.2601,25,25,consumed
8,115,0.2019,26,26,consumed
9,123,-1.942,30,30,consumed
10,126,-1.9753,30,30,consumed
11,128,-1.8564,34,34,consumed
12,131,3.0997,34,34,consumed
13,134,-1.742,36,36,consumed
14,135,-1.1993,39,39,consumed
