record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,110,-0.4565,20,20,consumed
1,119,0.8886,20,20,consumed
2,57,-2.6179,21,21,consumed
3,106,2.1858,21,21,consumed
4,118,1.517,21,21,consumed
5,38,-2.6359,22,22,consumed
6,116,-1.6492,23,23,consumed
7,73,2.7829,23,23,consumed
8,84,2.1559,23,23,consumed
9,109,-0.5126,23,26,expired
10,131,2.7619,24,24,consumed
11,58,2.327,25,25,consumed
12,107,1.66,26,26,consumed
13,132,-1.1685,26,26,consumed
14,136,-1.2896,28,28,consumed
15,129,-1.4789,28,28,consumed
16,137,0.6052,28,28,consumed
17,135,1.2224,28,28,consumed
18,48,0.3311,29,29,consumed
19,138,0.8659,30,30,consumed
20,139,0.9466,30,30,consumed
21,130,-3.0774,37,37,consumed
22,147,0.3528,39,39,consumed
