record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,107,-2.8986,20,20,consumed
1,89,-2.1145,20,20,consumed
2,67,-2.3833,20,20,consumed
3,71,-0.1163,20,23,expired
4,104,-2.7185,21,21,consumed
5,108,-1.9771,21,21,consumed
6,85,2.3234,21,21,consumed
7,98,1.3743,22,22,consumed
8,91,-0.7558,22,22,consumed
9,99,2.5169,23,26,expired
10,57,-2.5672,24,24,consumed
11,82,-2.0769,24,24,consumed
12,110,1.1256,27,27,consumed
13,105,-2.2516,28,28,consumed
14,113,0.653,30,30,consumed
15,115,-1.0208,32,32,consumed
16,111,-1.9672,32,32,consumed
17,116,-1.8101,33,33,consumed
18,109,0.8041,36,36,consumed
19,119,1.3599,36,36,consumed
20,118,1.385,38,38,consumed
