record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,110,-3.1055,20,20,consumed
1,134,3.0788,20,20,consumed
2,114,0.084,20,23,expired
3,124,-3.1292,21,21,consumed
4,146,-2.5686,22,22,consumed
5,148,2.7654,23,23,consumed
6,108,-1.2665,24,24,consumed
7,135,-1.0146,24,24,consumed
8,133,1.846,25,25,consumed
9,149,1.2727,25,25,consumed
10,107,-2.1559,26,26,consumed
11,85,-0.675,27,27,consumed
12,71,1.8251,27,27,consumed
13,151,-1.7873,28,28,consumed
14,0,0.8922,29,29,consumed
15,154,3.1064,29,29,consumed
16,27,-1.638,29,29,consumed
17,116,0.5588,30,30,consumed
18,123,1.7166,31,31,consumed
19,153,-0.4865,32,32,consumed
20,160,-1.0119,34,34,consumed
21,159,0.8183,34,34,consumed
22,164,1.4113,35,35,consumed
23,165,2.3399,35,35,consumed
24,158,2.5915,36,36,consumed
25,168,2.2238,39,39,consumed
26,169,2.1627,39,39,consumed
27,171,1.8895,39,39,consumed
